Tax_ID,VAT_Rate
0301921010,9%
0301921020,9%
0301921090,0
0301929010,9%
0301929020,9%
0301929090,9%
0301931010,0
0301931090,9%
0301939000,9%
0301941000,0
0301949100,9%
0301949200,9%
0301951000,0
0301959000,9%
0301991100,0
0301991200,9%
0301991910,9%
0301991990,0
0301999100,9%
0301999200,9%
0301999310,9%
0301999390,9%
0301999910,9%
0301999990,9%
0302110000,9%
0302130000,9%
0302141000,9%
0302142000,9%
0302190000,9%
0302210010,9%
0302210020,9%
0302210090,9%
0302220000,9%
0302230000,9%
0302240000,9%
0302290010,9%
0302290090,9%
0302310000,9%
0302320000,9%
0302330000,9%
0302340000,9%
0302351000,9%
0302352000,9%
0302360000,9%
0302390000,9%
0302410010,9%
0302410090,9%
0302420000,9%
0302430000,9%
0302440000,9%
0302450000,9%
0302460000,9%
0302470000,9%
0302491000,9%
0302499000,9%
0302510000,9%
0302520000,9%
0302530000,9%
0302540000,9%
0302550000,9%
0302560000,9%
0302590000,9%
30299,No data found
0302710000,9%
0302720000,9%
0302730000,9%
0302740010,9%
0302740020,9%
0302740090,9%
0302790001,9%
0302790090,9%
0302810010,9%
0302810090,9%
0302820000,9%
0302830000,9%
0302840000,9%
0302850000,9%
0302891000,9%
0302892000,9%
0302893000,9%
0302894000,9%
0302899001,9%
0302899010,9%
0302899020,9%
0302899030,9%
0302899090,9%
0302910010,9%
0302910020,0
0302910090,9%
0302920010,9%
0302920090,9%
0302990010,9%
0302990020,9%
0302990090,9%
0303110000,9%
0303120000,9%
0303131000,9%
0303132000,9%
0303140000,9%
0303190000,9%
0303230000,9%
0303240000,9%
0303250000,9%
0303260010,9%
30399,No data found
0303260020,9%
0303260090,9%
0303290001,9%
0303290090,9%
0303311000,9%
0303319010,9%
0303319090,9%
0303320000,9%
0303330000,9%
0303340000,9%
0303390010,9%
0303390090,9%
0303410000,9%
0303420000,9%
0303430000,9%
0303440000,9%
0303451000,9%
0303452000,9%
0303460000,9%
0303490000,9%
0303510010,9%
0303510090,9%
0303530000,9%
0303540000,9%
0303550000,9%
0303560000,9%
0303570000,9%
0303591000,9%
0303599010,9%
0303599090,9%
0303630000,9%
0303640000,9%
0303650000,9%
0303660000,9%
0303670000,9%
0303680000,9%
0303690000,9%
0303810010,9%
0303810090,9%
0303820000,9%
0303830000,9%
0303840000,9%
0303891000,9%
0303892000,9%
0303893000,9%
0303899001,9%
0303899010,9%
0303899020,9%
0303899030,9%
0303899090,9%
0303910010,9%
0303910020,0
0303910090,9%
0303920010,9%
0303920090,9%
0303990010,9%
0303990020,9%
0303990090,9%
0304310000,9%
0304320000,9%
0304330000,9%
0304390010,9%
0304390020,9%
0304390090,9%
0304410000,9%
0304420000,9%
0304430000,9%
0304440000,9%
0304450000,9%
0304460000,9%
0304470010,9%
0304470090,9%
0304480010,9%
0304480090,9%
0304490010,9%
0304490090,9%
0304510010,9%
0304510020,9%
0304510090,9%
0304520000,9%
0304530000,9%
0304540000,9%
0304550000,9%
0304560010,9%
0304560090,9%
0304570010,9%
0304570090,9%
0304590010,9%
0304590090,9%
0304610000,9%
0304621100,9%
0304621900,9%
0304629000,9%
0304630000,9%
0304690010,9%
0304690020,9%
0304690090,9%
0304710000,9%
0304720000,9%
0304730000,9%
0304740000,9%
0304750000,9%
0304790000,9%
0304810000,9%
0304820000,9%
0304830000,9%
0304840000,9%
0304850000,9%
0304860000,9%
0304870000,9%
0304880010,9%
0304880090,9%
0304890010,9%
0304890090,9%
0304910000,9%
0304920000,9%
0304930010,9%
0304930020,9%
0304930090,9%
0304940000,9%
0304950000,9%
0304960010,9%
0304960090,9%
0304970010,9%
0304970090,9%
0304990010,9%
0304990090,9%
0305200010,9%
0305200090,9%
0305310010,9%
0305310020,9%
0305310090,9%
0305320000,9%
0305390010,9%
0305390090,9%
0305411000,9%
0305412000,9%
0305420000,9%
0305430000,9%
0305440010,9%
0305440020,9%
0305440090,9%
0305490020,9%
0305490090,9%
0305510000,9%
0305520000,9%
0305530000,9%
0305541000,9%
0305549000,9%
0305591010,9%
0305591020,9%
0305599010,9%
0305599090,9%
0305610000,9%
0305620000,9%
0305630000,9%
0305640010,9%
0305640020,9%
0305640090,9%
0305691000,9%
0305692000,9%
0305693000,9%
0305699010,9%
0305699090,9%
0305710010,9%
0305710090,9%
0305720010,9%
0305720090,9%
0305790010,9%
0305790090,9%
0306110000,9%
0306120000,9%
0306141000,9%
0306149010,9%
0306149090,9%
0306150000,9%
0306163000,9%
0306164000,9%
0306169000,9%
0306173000,9%
0306179000,9%
0306191100,9%
0306191900,9%
0306199000,9%
0306311000,0
0306319000,9%
0306321000,0
0306329000,9%
0306331000,0
0306339100,9%
0306339200,9%
0306339910,9%
0306339990,9%
0306341000,9%
0306349000,9%
0306351000,0
0306359010,9%
0306359090,9%
0306361000,0
0306369010,9%
0306369090,9%
0306391000,0
0306399010,0
0306399090,9%
0306910000,9%
0306920000,9%
0306931000,9%
0306932000,9%
0306939000,9%
0306940000,9%
0306951000,9%
0306959000,9%
0306990000,9%
0307111000,0
0307119000,9%
0307120000,9%
0307190000,9%
0307211000,0
0307219100,9%
0307219900,9%
0307221000,9%
0307229000,9%
0307291000,9%
0307299000,9%
0307311000,0
0307319001,9%
0307319090,9%
0307320000,9%
0307390000,9%
0307421000,0
0307429100,9%
0307429900,9%
0307431000,9%
0307439000,9%
0307491000,9%
0307499000,9%
0307510000,9%
0307520000,9%
0307590000,9%
0307601010,9%
0307601090,0
0307609010,9%
0307609090,9%
0307711010,9%
0307711090,0
0307719100,9%
0307719910,9%
0307719920,9%
0307719990,9%
0307720010,9%
0307720020,9%
0307720090,9%
0307790010,9%
0307790020,9%
0307790090,9%
0307811000,0
0307819000,9%
0307821000,0
0307829000,9%
0307830000,9%
0307840000,9%
0307870000,9%
0307880000,9%
0307911011,9%
0307911019,9%
0307911090,9%
0307919011,9%
0307919019,9%
0307919020,9%
0307919090,9%
0307920011,9%
0307920019,9%
0307920020,9%
0307920090,9%
0307990011,9%
0307990019,9%
0307990020,9%
0307990090,9%
0308111010,9%
0308111090,0
0308119010,9%
0308119020,9%
0308119090,9%
0308120010,9%
0308120020,9%
0308120090,9%
0308190010,9%
0308190020,9%
0308190090,9%
0308211000,0
0308219010,9%
0308219090,9%
0308220010,9%
0308220090,9%
0308290010,9%
0308290090,9%
0308301100,0
0308301900,9%
0308309000,9%
0308901110,9%
0308901190,0
0308901200,9%
0308901910,9%
0308901990,9%
0308909010,9%
0308909090,9%
0309100010,9%
0309100090,9%
0309900010,9%
0309900090,9%
0401100000,9%
0401200000,9%
00000600,No data found
0401400000,13%
00001000,No data found
0401500000,13%
0402100000,13%
00000150,No data found
0402210000,13%
0402290000,13%
0402910000,13%
0402990000,13%
0403201000,13%
0403209000,13%
0403900000,13%
0404100010,13%
0404100090,13%
0404900000,13%
0405100000,13%
0405200000,13%
0405900000,13%
0406100000,13%
0406200000,13%
0406300000,13%
0406400000,13%
0406900000,13%
0407110000,0
0407190010,9%
0407190090,0
0407210000,9%
0407290010,9%
0407290090,9%
0407901000,9%
0407902000,9%
0407909010,9%
0407909090,9%
0408110000,9%
0408190000,9%
0408910000,9%
0408990000,9%
0409000000,9%
0410100010,13%
0410100090,13%
0410901000,13%
0410902100,9%
0410902200,13%
0410902300,13%
0410902900,13%
0410909010,13%
0410909090,13%
0501000000,13%
0502101000,9%
0502102000,9%
0502103000,9%
0502901100,9%
0502901200,9%
0502901910,9%
0502901990,9%
0502902010,9%
0502902090,9%
0504001100,9%
0504001200,9%
0504001300,9%
0504001400,9%
0504001900,9%
0504002100,9%
0504002900,9%
0504009000,9%
0505100010,9%
0505100090,9%
0505901000,9%
0505909010,9%
0505909090,9%
0506100000,13%
0506901110,13%
0506901190,13%
0506901910,13%
0506901990,13%
0506909011,9%
0506909019,9%
0506909021,9%
0506909029,9%
0506909031,9%
0506909039,9%
0506909091,9%
0506909099,9%
0507100010,9%
0507100020,9%
0507100030,9%
0507100090,9%
0507901000,9%
0507902010,9%
0507902090,9%
0507909011,9%
0507909019,9%
0507909020,9%
0507909030,9%
0507909090,9%
0508001010,9%
0508001090,9%
0508009010,9%
0508009090,9%
0510001010,9%
0510001020,9%
0510001090,9%
0510002010,9%
0510002020,9%
0510003010,9%
0510003090,9%
0510004000,9%
0510009010,9%
0510009090,9%
0511100010,9%
0511100090,0
0511911110,9%
0511911190,0
0511911910,9%
0511911990,9%
0511919010,9%
0511919020,9%
0511919090,9%
0511991010,9%
0511991090,0
0511992010,9%
0511992020,0
0511992090,9%
0511993000,9%
0511994010,9%
0511994090,9%
0511999010,9%
0511999090,9%
0601101000,0
0601102110,9%
0601102190,0
0601102910,9%
0601102990,9%
0601109110,9%
0601109191,9%
0601109199,0
0601109910,9%
0601109991,9%
0601109999,9%
0601200010,9%
0601200020,9%
0601200091,9%
0601200099,0
0602100010,9%
0602100090,0
0602201000,0
0602209000,9%
0602301010,9%
0602301090,9%
0602309010,9%
0602309090,9%
0602401010,9%
0602401090,9%
0602409010,9%
0602409090,9%
0602901000,9%
0602909110,9%
0602909120,9%
0602909191,9%
0602909199,0
0602909200,9%
0602909300,9%
0602909410,9%
0602909420,9%
0602909430,9%
0602909490,9%
0602909500,9%
0602909910,9%
0602909920,9%
0602909930,9%
0602909991,9%
0602909999,9%
0603110000,9%
0603120000,9%
0603130000,9%
0603140000,9%
0603150000,9%
0603190010,9%
0603190090,9%
0603900010,13%
0603900090,13%
0604201010,9%
0604201090,9%
0604209010,9%
0604209090,9%
0604901010,9%
0604901090,9%
0604909010,13%
0604909090,13%
0701100000,9%
0701900000,9%
0702000000,9%
0703101000,9%
0703102000,9%
0703201000,9%
0703202000,9%
0703209000,9%
0703901000,9%
0703902000,9%
0703909000,9%
0704101000,9%
0704109010,9%
0704109090,9%
0704200000,9%
0704901000,9%
0704909001,9%
0704909090,9%
0705110000,9%
0705190000,9%
0705210000,9%
0705290000,9%
0706100001,9%
0706100090,9%
0706900000,9%
0707000000,9%
0708100000,9%
0708200000,9%
0708900000,9%
0709200000,9%
0709300000,9%
0709400000,9%
0709510000,9%
0709520000,9%
0709530000,9%
0709540000,9%
0709550010,9%
0709550090,9%
0709560010,9%
0709560090,9%
0709591000,9%
0709593000,9%
0709594000,9%
0709595010,9%
0709595090,9%
0709596000,9%
0709599000,9%
0709600000,9%
0709700000,9%
0709910000,9%
0709920000,9%
0709930000,9%
0709991000,9%
0709999001,9%
0709999002,9%
0709999003,9%
0709999004,9%
0709999005,9%
0709999010,9%
0709999090,9%
0710100000,9%
0710210000,9%
0710221000,9%
0710229000,9%
0710290000,9%
0710300000,9%
0710400000,9%
0710801000,9%
0710802000,9%
0710803000,9%
0710804000,9%
0710809010,9%
0710809020,9%
0710809030,9%
0710809090,9%
0710900000,9%
0711200000,9%
0711400000,9%
0711511200,9%
0711511900,9%
0711519000,9%
0711591100,9%
0711591910,9%
0711591920,9%
0711591990,9%
0711599010,9%
0711599090,9%
0711903100,9%
0711903410,9%
0711903490,9%
0711903900,9%
0711909000,9%
0712200000,9%
0712310000,9%
0712320000,9%
0712330000,9%
0712340000,9%
0712392000,9%
0712395000,9%
0712399100,9%
0712399910,9%
0712399920,9%
0712399990,9%
0712901000,9%
0712902000,9%
0712903000,9%
0712904000,9%
0712905010,13%
0712905090,13%
0712909100,9%
0712909910,9%
0712909920,0
0712909990,9%
0713101000,0
0713109000,9%
0713201000,9%
0713209000,9%
0713311000,9%
0713319000,9%
0713321000,9%
0713329000,9%
0713331000,0
0713339000,9%
0713340000,9%
0713350010,0
0713350090,9%
0713390000,9%
0713401000,9%
0713409000,9%
0713501000,0
0713509000,9%
0713601000,9%
0713609000,9%
0713901000,0
0713909000,9%
0714101000,9%
0714102000,9%
0714103000,9%
0714201100,9%
0714201900,9%
0714202000,9%
0714203000,9%
0714300000,9%
0714400001,9%
0714400090,9%
0714500000,9%
0714901000,9%
0714902100,9%
0714902900,9%
0714909010,9%
0714909091,9%
0714909099,9%
0801110000,9%
0801120000,9%
0801191000,9%
0801199000,9%
0801210000,9%
0801220000,9%
0801310000,9%
0801320000,9%
0802110000,9%
0802120000,9%
0802210000,9%
0802220000,9%
0802310000,9%
0802320000,9%
0802411000,9%
0802419000,9%
0802421000,9%
0802429000,9%
0802510000,9%
0802520000,9%
0802611000,9%
0802619000,9%
0802620000,9%
0802700000,9%
0802800001,9%
0802800090,9%
0802910011,9%
0802910019,9%
0802910020,9%
0802910090,9%
0802920011,9%
0802920019,9%
0802920020,9%
0802920090,9%
0802991000,9%
0802999011,9%
0802999019,9%
0802999020,9%
0802999030,9%
0802999090,9%
0803100000,9%
0803900000,9%
0804100000,9%
0804200000,9%
0804300001,9%
0804300090,9%
0804400000,9%
0804501001,9%
0804501090,9%
0804502001,9%
0804502090,9%
0804503000,9%
0805100000,9%
0805211000,9%
0805219000,9%
0805220000,9%
0805290000,9%
0805400010,9%
0805400090,9%
0805500000,9%
0805900000,9%
0806100000,9%
0806200000,9%
0807110000,9%
0807191000,9%
0807192000,9%
0807199000,9%
0807200000,9%
0808100000,9%
0808301000,9%
0808302000,9%
0808309000,9%
0808400000,9%
0809100010,9%
0809100090,9%
0809210000,9%
0809290000,9%
0809300000,9%
0809400010,9%
0809400090,9%
0810100000,9%
0810200000,9%
0810300000,9%
0810400000,9%
0810500000,9%
0810600000,9%
0810700000,9%
0810901000,9%
0810903000,9%
0810904000,9%
0810905000,9%
0810906000,9%
0810907000,9%
0810908000,9%
0810909001,9%
0810909002,9%
0810909090,9%
0811100000,9%
0811200000,9%
0811901000,9%
0811909021,9%
0811909022,9%
0811909030,9%
0811909050,9%
0811909060,9%
0811909090,9%
0812100000,9%
0812900060,9%
0812900070,9%
0812900090,9%
0813100000,9%
0813200000,9%
0813300000,9%
0813401000,9%
0813402000,9%
0813403000,9%
0813404000,9%
0813409020,9%
0813409090,9%
0813500000,9%
0814000000,9%
0901110000,13%
0901120000,13%
0901210000,13%
0901220000,13%
0901901000,13%
0901902000,13%
0902101100,9%
0902101900,9%
0902102000,9%
0902109000,9%
0902201100,9%
0902201900,9%
0902202000,9%
0902209000,9%
0902301000,9%
0902303100,9%
0125,No data found
0902303900,9%
0902309000,9%
0902401000,9%
0902403100,9%
0902403900,9%
0902409000,9%
0903000000,9%
0904110010,9%
0904110090,9%
0904120000,9%
0904210000,9%
0904220000,9%
0905100000,9%
0905200000,9%
0906110000,9%
0906190000,9%
0906200000,9%
0907100000,9%
0907200000,9%
0908110010,9%
0908110090,9%
0908120010,9%
0908120090,9%
0908210010,9%
0908210090,9%
0908220010,9%
0908220090,9%
0908310010,9%
0908310090,9%
0908320010,9%
0908320090,9%
0909210010,0
0909210090,9%
0909220000,9%
0909310000,9%
0909320000,9%
0909611000,9%
0909619001,0
0909619010,9%
0909619090,9%
0909621000,9%
0909629010,9%
0909629090,9%
00091000,No data found
0910110000,9%
0910120000,9%
0910200000,9%
0910300000,9%
0910910000,13%
0910991000,13%
0910999000,13%
1001110001,9%
1001110090,9%
1001190001,9%
1001190090,9%
1001910001,9%
1001910090,9%
1001990001,9%
1001990090,9%
1002100000,9%
1002900000,9%
1003100000,0
1003900000,9%
1004100000,0
1004900000,9%
1005100001,0
1005100090,0
1005900001,9%
1005900090,9%
1006102101,9%
1006102190,9%
1006102901,9%
1006102990,9%
1006108101,9%
1006108190,9%
1006108901,9%
1006108990,9%
1006202001,9%
1006202090,9%
1006208001,9%
1006208090,9%
1006302001,9%
1006302090,9%
1006308001,9%
1006308090,9%
1006402001,9%
1006402090,9%
1006408001,9%
1006408090,9%
1007100000,0
1007900000,9%
1008100000,9%
1008210000,9%
1008290000,9%
1008300000,9%
1008401000,9%
1008409000,9%
1008501000,9%
1008509000,9%
1008601000,9%
1008609000,9%
1008901000,9%
1008909000,9%
1101000001,9%
1101000090,9%
1102200001,9%
1102200090,9%
1102902101,9%
1102902190,9%
1102902901,9%
1102902990,9%
1102909000,9%
1103110001,9%
1103110090,9%
1103130001,9%
1103130090,9%
1103191000,9%
1103193101,9%
1103193190,9%
1103193901,9%
1103193990,9%
1103199000,9%
1103201001,9%
1103201090,9%
1103209000,9%
1104120000,13%
1104191000,13%
1104199010,13%
1104199090,13%
1104220000,13%
1104230001,9%
1104230090,9%
1104291000,9%
1104299000,9%
1104300000,9%
1105100000,13%
1105200000,13%
1106100000,13%
1106200000,13%
1106300000,13%
1107100000,13%
1107200000,13%
1108110000,13%
1108120000,13%
1108130000,13%
1108140000,13%
1108190000,13%
1108200000,13%
1109000000,13%
1201100000,9%
1201901100,9%
1201901900,9%
1201902000,9%
1201903000,9%
1201909000,9%
1202300000,9%
1202410000,9%
1202420000,9%
1203000000,9%
1204000010,0
1204000090,9%
1205101000,0
1205109000,9%
1205901000,0
1205909000,9%
1206001010,0
1206001090,9%
1206009000,9%
1207101010,9%
1207101090,9%
1207109010,9%
1207109090,9%
1207210000,9%
1207290000,9%
1207301000,0
1207309000,9%
1207401000,9%
1207409000,9%
12072900,No data found
12073010,No data found
1207501000,0
1207509000,9%
1207601000,9%
1207609000,9%
1207701000,0
1207709100,9%
1207709200,9%
1207709900,9%
1207910000,9%
1207991010,0
1207991020,0
1207991090,9%
1207999100,9%
1207999900,9%
1208100000,13%
1208900000,13%
1209100000,0
1209210000,9%
1209220000,9%
1209230000,9%
1209240000,9%
1209250000,9%
1209291000,0
1209299000,0
1209300010,9%
1209300090,0
1209911000,0
1209912000,0
1209913000,0
1209914000,0
1209915000,0
1209919000,0
1209990010,9%
1209990020,0
1209990030,0
1209990090,9%
1210100000,13%
1210200000,13%
1211201100,9%
1211201900,9%
1211202110,9%
1211202190,9%
1211202910,9%
1211202990,9%
1211209110,9%
1211209191,9%
1211209199,9%
1211209210,9%
1211209291,9%
1211209299,9%
1211209910,9%
1211209991,9%
1211209999,9%
1211300010,9%
1211300020,9%
1211300090,9%
1211400010,9%
1211400020,9%
1211400090,9%
1211500011,9%
1211500012,9%
1211500019,9%
1211500021,9%
1211500029,9%
1211500091,9%
1211500099,9%
1211600000,9%
1211901100,9%
1211901200,9%
1211901300,9%
1211901410,9%
1211901490,9%
1211901500,9%
1211901610,9%
1211901690,9%
1211901710,9%
1211901790,9%
1211901800,9%
1211901900,9%
1211902100,9%
1211902200,9%
1211902300,9%
1211902400,9%
1211902500,9%
1211902600,9%
1211902700,9%
1211902800,9%
1211902900,9%
1211903100,9%
1211903200,9%
1211903300,9%
1211903400,9%
1211903500,9%
1211903600,9%
1211903700,9%
1211903810,9%
1211903890,9%
1211903930,9%
1211903940,9%
1211903950,9%
1211903960,9%
1211903971,9%
1211903979,9%
1211903982,9%
1211903983,9%
1211903984,9%
1211903985,9%
1211905030,9%
1211905091,9%
1211905099,9%
1211909100,9%
1211909991,9%
1211909999,9%
1212211010,0
1212211090,9%
1212212000,9%
1212213100,9%
1212213210,0
1212213290,9%
1212213900,9%
1212214100,9%
1212214210,0
1212214290,9%
1212214900,9%
1212216110,9%
1212216190,9%
1212216911,9%
1212216919,0
1212216991,9%
1212216999,9%
1212217100,9%
1212217910,0
1212217990,9%
1212219010,0
1212219090,9%
1212291010,9%
1212291090,9%
1212299000,9%
1212910000,9%
1212920000,9%
1212930000,9%
1212940000,9%
1212991100,9%
1212991200,9%
1212991900,9%
1212999300,9%
1212999400,9%
1212999600,9%
1212999910,9%
1212999990,9%
1213000000,9%
1214100000,0
1214900001,0
1214900002,0
1214900090,0
1301200000,9%
1301901000,9%
1301902000,9%
1301903010,9%
1301903090,9%
1301904010,9%
1301904090,9%
1301909010,9%
1301909020,9%
1301909091,9%
1301909099,9%
1302110000,0
1302120000,13%
1302130000,13%
1302140011,13%
1302140012,13%
1302140019,13%
1302140020,13%
1302191000,13%
1302192000,13%
1302193010,13%
1302193090,13%
1302194000,13%
1302199001,13%
1302199013,13%
1302199019,13%
1302199095,13%
1302199096,13%
1302199097,13%
1302199099,13%
1302200000,13%
1302310000,13%
1302320000,13%
1302391100,13%
1302391200,13%
1302391900,13%
1302399010,13%
1302399090,13%
1401100000,9%
1401200010,9%
1401200090,9%
1401901000,9%
1401902000,9%
1401903100,9%
1401903900,9%
1401909000,9%
1404200000,9%
1404901000,9%
1404909010,9%
1404909090,9%
1501100000,13%
1501200000,13%
1501900000,13%
1502100000,13%
1502900000,13%
1503000000,13%
1504100010,13%
1504100090,13%
1504200011,13%
1504200019,13%
1504200091,13%
1504200099,13%
1504300010,13%
1504300090,13%
1505000000,13%
1506000010,13%
1506000090,13%
1507100000,9%
1507900000,9%
1508100000,9%
1508900000,9%
1509200000,9%
1509300000,9%
1509400000,9%
1509900000,13%
1510100000,13%
1510900000,13%
1511100000,9%
1511901000,9%
1511902001,9%
1511902090,9%
1511909000,13%
1512110000,9%
1512190000,13%
1512210000,9%
1512290000,13%
1513110000,9%
1513190000,9%
1513210000,9%
1513290000,13%
1514110000,9%
1514190000,9%
1514911000,9%
1514919000,9%
1514990000,13%
1515110000,9%
1515190000,13%
1515210000,9%
1515290000,13%
1515300000,13%
1515500000,9%
1515600000,13%
1515901000,13%
1515902000,13%
1515903000,13%
1515904000,13%
1515909010,13%
1515909090,13%
1516100000,13%
1516200000,13%
1516300000,13%
1517100000,13%
1517901001,13%
1517901002,9%
1517901090,9%
1517909001,13%
1517909002,9%
1517909003,9%
1518000000,13%
1520000000,13%
1521100010,13%
1521100090,13%
1521901000,13%
1521909010,13%
1521909090,13%
1522000000,13%
1601001010,13%
1601001090,13%
1601002010,13%
1601002090,13%
1601003010,13%
1601003090,13%
1602100010,13%
1602100090,13%
1602200010,13%
1602200090,13%
1602310000,13%
1602321000,13%
1602329100,13%
1602329200,13%
1602329900,13%
1602391000,13%
1602399100,13%
1602399900,13%
1602410010,13%
1602410090,13%
1602420010,13%
1602420090,13%
1602491010,13%
1602491090,13%
1602499010,13%
1602499090,13%
1602501010,13%
1602501090,13%
1602509010,13%
1602509090,13%
1602901010,13%
1602901090,13%
1602909010,13%
1602909090,13%
1603000010,13%
1603000090,13%
1604111000,13%
1604119000,13%
1604120000,13%
1604130000,13%
1604140000,13%
1604150000,13%
1604160000,13%
1604170010,13%
1604170020,13%
1604170090,13%
1604180010,13%
1604180090,13%
1604192000,13%
1604193100,13%
1604193900,13%
1604199010,13%
1604199090,13%
1604201110,13%
1604201190,13%
1604201910,13%
1604201990,13%
1604209110,13%
1604209190,13%
1604209910,13%
1604209990,13%
1604310000,13%
1604320000,13%
1605100000,13%
1605210000,13%
1605290000,13%
1605300000,13%
1605401100,13%
1605401900,13%
1605409000,13%
1605510000,13%
1605520010,13%
1605520090,13%
1605530000,13%
1605540000,13%
1605550000,13%
1605561000,13%
1605562010,13%
1605562090,13%
1605570000,13%
1605580010,13%
1605580090,13%
1605590010,13%
1605590090,13%
1605610010,13%
1605610090,13%
1605620000,13%
1605630000,13%
1605690010,13%
1605690090,13%
1701120001,13%
1701120090,13%
1701130001,13%
1701130090,13%
1701140001,13%
1701140090,13%
1701910001,13%
1701910090,13%
1701991010,13%
1701991090,13%
1701992001,13%
1701992090,13%
1701999001,13%
1701999090,13%
1702110000,13%
1702190000,13%
1702200000,13%
1702300000,13%
1702400000,13%
1702500000,13%
1702600000,13%
1702901100,13%
1702901200,13%
1702909010,13%
00009900,No data found
00002000,No data found
1702909090,13%
1703100000,13%
1703900000,13%
1704100000,13%
1704900000,13%
1801000000,13%
1802000000,13%
1803100000,13%
1803200000,13%
1804000010,13%
1804000090,13%
1805000000,13%
1806100000,13%
1806200000,13%
1806310000,13%
1806320000,13%
1806900000,13%
00020000,No data found
1901101010,13%
1901101090,13%
1901109000,13%
1901200000,13%
1901900010,13%
1901900090,13%
1902110010,9%
1902110090,13%
1902190010,9%
1902190090,13%
1902200000,13%
1902301000,13%
1902302000,13%
1902303000,13%
1902309000,13%
1902400000,13%
1903000000,13%
1904100000,13%
1904200000,13%
1904300000,13%
1904900000,13%
1905100000,13%
1905200000,13%
1905310000,13%
1905320000,13%
1905400000,13%
1905900000,13%
