StatisticalCode,Unit,Goods,Rate#,ReferenceNumber,Tariffconcessionorders
5,t,"Lignite, whether or not pulverised, but not agglomerated",Free,2702.10.00,
6,t,Agglomerated lignite,Free,2702.20.00,
7,t,"PEAT (INCLUDING PEAT LITTER), WHETHER OR NOT AGGLOMERATED",Free,2703.00.00,
8,t,"COKE AND SEMI  COKE OF COAL, OF LIGNITE OR OF PEAT, WHETHER OR NOT AGGLOMERATED; RETORT CARBON",Free,2704.00.00,
9,kg,"COAL GAS, WATER GAS, PRODUCER GAS AND SIMILAR GASES, OTHER THAN PETROLEUM GASES AND OTHER GASEOUS HYDROCARBONS",5% DCS:Free,2705.00.00,
13,kg,"TAR DISTILLED FROM COAL, FROM LIGNITE OR FROM PEAT, AND OTHER MINERAL TARS, WHETHER OR NOT DEHYDRATED OR PARTIALLY DISTILLED, INCLUDING RECONSTITUTED TARS",Free,2706.00.00,
,,OILS AND OTHER PRODUCTS OF THE DISTILLATION OF HIGH TEMPERATURE COAL TAR; SIMILAR PRODUCTS IN WHICH THE WEIGHT OF THE AROMATIC CONSTITUENTS EXCEEDS THAT OF THE NON  AROMATIC CONSTITUENTS:,,,
84,L,Benzol (benzene),$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2707.10.00,
25,L,Toluol (toluene),$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2707.20.00,
30,L,Xylol (xylenes),$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2707.30.00,
14,L,Naphthalene,Free,2707.40.00,
40,L,Other aromatic hydrocarbon mixtures of which 65% or more by volume (including losses) distils at 250 oC by the ISO 3405 method (equivalent to the ASTM D 86 method),$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2707.50.00,
,,Other:,,2707.9,
18,L,Creosote oils,Free,2707.91.00,
,,Other:,,2707.99,
30,L,Phenols,5% DCS:4% DCT:5%,2707.99.10,
31,L,Other,Free,2707.99.90,
,,"PITCH AND PITCH COKE, OBTAINED FROM COAL TAR OR FROM OTHER MINERAL TARS:",,2708,
20,kg,Pitch,Free,2708.10.00,
21,t,Pitch coke,Free,2708.20.00,
,,"PETROLEUM OILS AND OILS OBTAINED FROM BITUMINOUS MINERALS, CRUDE:",,2709,
52,L,For use as a petroleum refinery feedstock at a factory specified in a licence granted pursuant to Part IV of the Excise Act 1901,Free,2709.00.10,
45,L,Other,$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2709.00.90,
,,"PETROLEUM OILS AND OILS OBTAINED FROM BITUMINOUS MINERALS, OTHER THAN CRUDE; PREPARATIONS NOT ELSEWHERE SPECIFIED OR INCLUDED, CONTAINING BY WEIGHT 70% OR MORE OF PETROLEUM OILS OR OF OILS OBTAINED FROM BITUMINOUS MINERALS, THESE OILS BEING THE BASIC CONSTITUENTS OF THE PREPARATIONS; WASTE OILS:",,2710,
,,"Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, other than those containing biodiesel and other than waste oils:",,2710.1,
,,Light oils and preparations:,,2710.12,
,,Gasoline:,,2710.12.6,
7,L,For use as fuel in aircraft,$0.03556/L NZ/PG/FI/DC/LDC/SG: $0.03556/L,2710.12.61,
,,Blends of gasoline and ethanol,$0.508/L of gasoline plus $0.508/L of ethanol plus $0.508/L of other substances (if any) in the blend NZ/PG/FI/DC/LDC/SG: $0.508/L of gasoline plus $0.508/L of ethanol plus $0.508/L of other substances (if any) in the blend,2710.12.62,
25,L,(Rate No 001) Volume of gasoline,,,
26,L,(Rate No 002) Volume of ethanol,,2710,
27,L,(Rate No 003) Volume of other substances (if any) in the blend,,2710.1,
8,L,Other,$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.12.69,
9,L,Other refined or partly refined petroleum products; mineral turpentine,$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.12.70,
10,L,Other,Free,2710.12.90,
,,Other:,,2710.19,
,,"Crudes, topped or enriched:",,2710.19.1,
21,L,For use as a petroleum refinery feedstock at a factory specified in a licence granted under Part IV of the Excise Act 1901,Free,2710.19.14,
32,L,Other,$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.19.16,
,,"Diesel, other than blends of 27102000:",,2710.19.2,
,,Blends of diesel and ethanol,$0.508/L of diesel plus $0.508/L of ethanol plus $0.508/L of other substances (if any) in the blend NZ/PG/FI/DC/LDC/SG: $0.508/L of diesel plus $0.508/L of ethanol plus $0.508/L of other substances (if any) in the blend,2710.19.22,
,,Marine diesel fuel (ships' bunkers):,,,
4,L,(Rate No 001) Volume of diesel,,,
5,L,(Rate No 002) Volume of ethanol,,,
6,L,(Rate No 003) Volume of other substances (if any) in the blend,,,
,,Other:,,,
14,L,(Rate No 001) Volume of diesel,,,
15,L,(Rate No 002) Volume of ethanol,,,
16,L,(Rate No 003) Volume of other substances (if any) in the blend,,,
,,Other,$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.19.28,
30,L,Marine diesel fuel (ships' bunkers),,2710,
31,L,Other,,2710.1,
52,L,Kerosene for use as fuel in aircraft,$0.03556/L NZ/PG/FI/DC/LDC/SG: $0.03556/L,2710.19.40,
,,"Goods, as follows: heating oil; kerosene, other than goods of 27101940; fuel oil having the characteristics as defined in Additional Note 1 to this Chapter:",,2710.19.5,
60,L,Heating oil,$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.19.51,
65,L,"Kerosene, other than goods of 27101940",$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.19.52,
,,Fuel oil having the characteristics as defined in Additional Note 1 to this Chapter,$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.19.53,
73,L,Heavy fuel oil (ships' bunkers),,2710,
74,L,Other,,2710.1,
75,L,"Other refined or partly refined petroleum products other than lubricants (including lubricant base oils), hydraulic oils, transformer oils and bitumen; mineral turpentine",$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.19.70,
,,Other:,,2710.19.9,
59,L,"Petroleum based oils, other than grease of 27101992, including: lubricant base oils;prepared lubricant additives containing carrier oils; lubricants for engines, gear sets, pumps and bearings;hydraulic fluids; brake fluids; transmission oils;transformer and heat transfer oils",$0.142/L NZ/PG/FI/DC/LDC/SG: $0.142/L,2710.19.91,
80,kg,Petroleum based greases,$0.142/kg NZ/PG/FI/DC/ LDC: $0.142/kg,2710.19.91,
85,L,Other,Free,2710.19.99,
,,"Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, containing biodiesel, other than waste oils",$0.508/L of biodiesel plus $0.508/L of ethanol (if any) plus $0.508/L of other substances in the blend NZ/PG/FI/DC/LDC/SG: $0.508/L of biodiesel plus $0.508/L of ethanol (if any) plus $0.508/L of other substances in the blend,2710.20.00,
31,L,(Rate No 001) Volume of biodiesel,,,
32,L,(Rate No 002) Volume of ethanol (if any),,,
33,L,(Rate No 003) Volume of other substances in the blend,,2710,
,,Waste oils:,,2710.9,
,,"Containing polychlorinated biphenyls (PCBs), polychlorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs):",,2710.91,
,,"Crudes, topped or enriched:",,2710.91.1,
12,L,For use as a petroleum refinery feedstock at a factory specified in a licence granted under Part IV of the Excise Act 1901,Free,2710.91.14,
15,L,Other,$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.91.16,
,,"Diesel, other than blends of 27109180:",,2710.91.2,
,,Blends of diesel and ethanol,$0.508/L of diesel plus $0.508/L of ethanol plus $0.508/L of other substances (if any) in the blend NZ/PG/FI/DC/LDC/SG: $0.508/L of diesel plus $0.508/L of ethanol plus $0.508/L of other substances (if any) in the blend,2710.91.22,
20,L,(Rate No 001) Volume of diesel,,,
21,L,(Rate No 002) Volume of ethanol,,,
22,L,(Rate No 003) Volume of other substances (if any) in the blend,,,
23,L,Other,$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.91.28,
97,L,Kerosene for use as fuel in aircraft,$0.03556/L NZ/PG/FI/DC/LDC/SG: $0.03556/L,2710.91.40,
,,"Goods, as follows: heating oil;kerosene, other than goods of 27109140;fuel oil having the characteristics as defined in Additional Note 1 to this Chapter:",,2710.91.5,
26,L,Heating oil,$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.91.51,
28,L,"Kerosene, other than goods of 27109140",$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.91.52,
46,L,Fuel oil having the characteristics as defined in Additional Note 1 to this Chapter,$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.91.53,
,,Gasoline:,,2710.91.6,
99,L,For use as fuel in aircraft,$0.03556/L NZ/PG/FI/DC/LDC/SG: $0.03556/L,2710.91.61,
,,Blends of gasoline and ethanol,$0.508/L of gasoline plus $0.508/L of ethanol plus $0.508/L of other substances (if any) in the blend NZ/PG/FI/DC/LDC/SG: $0.508/L of gasoline plus $0.508/L of ethanol plus $0.508/L of other substances (if any) in the blend,2710.91.62,
35,L,(Rate No 001) Volume of gasoline,,,
36,L,(Rate No 002) Volume of ethanol,,,
37,L,(Rate No 003) Volume of other substances (if any) in the blend,,,
38,L,Other,$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.91.69,
19,L,"Other refined or partly refined petroleum products other than lubricants (including lubricant base oils), hydraulic oils, transformer oils and bitumen; mineral turpentine",$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.91.70,
,,Blends of biodiesel and other substances,$0.508/L of biodiesel plus $0.508/L of ethanol (if any) plus $0.508/L of other substances in the blend NZ/PG/FI/DC/LDC/SG: $0.508/L of biodiesel plus $0.508/L of ethanol (if any) plus $0.508/L of other substances in the blend,2710.91.80,
82,L,(Rate No 001) Volume of biodiesel,,,
83,L,(Rate No 002) Volume of ethanol (if any),,,
84,L,(Rate No 003) Volume of other substances in the blend,,,
,,Other:,,2710.91.9,
8,L,"Petroleum based oils, other than grease of 27109192, including: lubricant base oils;prepared lubricant additives containing carrier oils;lubricants for engines, gear sets, pumps and bearings;hydraulic fluids; brake fluids;transmission oils;transformer and heat transfer oils",$0.142/L NZ/PG/FI/DC/LDC/SG: $0.142/L,2710.91.91,
9,kg,Petroleum based greases,$0.142/kg NZ/PG/FI/DC/LDC/SG: $0.142/kg,2710.91.92,
10,L,Other,Free,2710.91.99,
,,Other:,,2710.99,
,,"Crudes, topped or enriched:",,2710.99.1,
87,L,For use as a petroleum refinery feedstock at a factory specified in a licence granted under Part IV of the Excise Act 1901,Free,2710.99.14,
88,L,Other,$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.99.16,
,,"Diesel, other than blends of 27109980:",,2710.99.2,
,,Blends of diesel and ethanol,$0.508/L of diesel plus $0.508/L of ethanol plus $0.508/L of other substances (if any) in the blend NZ/PG/FI/DC/LDC/SG: $0.508/L of diesel plus $0.508/L of ethanol plus $0.508/L of other substances (if any) in the blend,2710.99.22,
10,L,(Rate No 001) Volume of diesel,,,
11,L,(Rate No 002) Volume of ethanol,,,
12,L,(Rate No 003) Volume of other substances (if any) in the blend,,,
13,L,Other,$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.99.28,
26,L,Kerosene for use as fuel in aircraft,$0.03556/L NZ/PG/FI/DC/LDC/SG: $0.03556/L,2710.99.40,
,,"Goods, as follows: heating oil;kerosene, other than goods of 27109940;fuel oil having the characteristics as defined in Additional Note 1 to this Chapter:",,2710.99.5,
74,L,Heating oil,$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.99.51,
77,L,"Kerosene, other than goods of 27109940",$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.99.52,
29,L,Fuel oil having the characteristics as defined in Additional Note 1 to this Chapter,$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.99.53,
,,Gasoline:,,2710.99.6,
28,L,For use as fuel in aircraft,$0.03556/L NZ/PG/FI/DC/LDC/SG: $0.03556/L,2710.99.61,
,,Blends of gasoline and ethanol,$0.508/L of gasoline plus $0.508/L of ethanol plus $0.508/L of other substances (if any) in the blend NZ/PG/FI/DC/LDC/SG: $0.508/L of gasoline plus $0.508/L of ethanol plus $0.508/L of other substances (if any) in the blend,2710.99.62,
40,L,(Rate No 001) Volume of gasoline,,,
41,L,(Rate No 002) Volume of ethanol,,,
42,L,(Rate No 003) Volume of other substances (if any) in the blend,,,
43,L,Other,$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.99.69,
76,L,"Other refined or partly refined petroleum products other than lubricants (including lubricant base oils), hydraulic oils, transformer oils and bitumen; mineral turpentine",$0.508/L NZ/PG/FI/DC/LDC/SG: $0.508/L,2710.99.70,
,,Blends of biodiesel and other substances,$0.508/L of biodiesel plus $0.508/L of ethanol (if any) plus $0.508/L of other substances in the blend NZ/PG/FI/DC/LDC/SG: $0.508/L of biodiesel plus $0.508/L of ethanol (if any) plus $0.508/L of other substances in the blend,2710.99.80,
91,L,(Rate No 001) Volume of biodiesel,,,
92,L,(Rate No 002) Volume of ethanol (if any),,,
93,L,(Rate No 003) Volume of other substances in the blend,,,
,,Other:,,2710.99.9,
66,L,"Petroleum based oils, other than grease of 27109992, including: lubricant base oils;prepared lubricant additives containing carrier oils;lubricants for engines, gear sets, pumps and bearings;hydraulic fluids;brake fluids;transmission oils;transformer and heat transfer oils",$0.142/L NZ/PG/FI/DC/LDC/SG: $0.142/L,2710.99.91,
67,kg,Petroleum based greases,$0.142/kg NZ/PG/FI/DC/LDC/SG: $0.142/kg,2710.99.92,
70,L,Other,Free,2710.99.99,
,,PETROLEUM GASES AND OTHER GASEOUS HYDROCARBONS:,,,
,,Liquefied:,,,
13,kg,Natural gas,$0.348/kg NZ/PG/FI/DC/LDC/SG:$0.348/kg,2711.11.00,
,,Propane:,,2711.12,
1,L,LPG as defined in Additional Note 2 to this Chapter,$0.166/L NZ/PG/FI/DC/LDC/SG:$0.166/L,2711.12.10,
2,L,Other,Free,2711.12.90,
,,Butanes:,,2711.13,
3,L,LPG as defined in Additional Note 2 to this Chapter,$0.166/L NZ/PG/FI/DC/LDC/SG: $0.166/L,2711.13.10,
4,L,Other,Free,2711.13.90,
16,kg,"Ethylene, propylene, butylene and butadiene",Free,2711.14.00,
17,kg,Other,Free,2711.19.00,
,,In gaseous state:,,,
,,Natural gas:,,2711.21,
5,kg,CNG as defined in Additional Note 5 to this Chapter,$0.348/kg NZ/PG/FI/DC/LDC/SG:$0.348/kg,2711.21.10,
8,kg,Other,Free,1601.00.00,
40,kg,Other,Free,2711.29.00,
,,"PETROLEUM JELLY; PARAFIN WAX, MICRO  CRYSTALLINE PETROLEUM WAX, SLACK WAX, OZOKERITE, LIGNITE WAX, PEAT WAX, OTHER MINERAL WAXES, AND SIMILAR PRODUCTS OBTAINED BY SYNTHESIS OR BY OTHER PROCESSES, WHETHER OR NOT COLOURED:",,,
20,kg,Petroleum jelly,Free,2712.10.00,
21,kg,Paraffin wax containing by weight less than 075% of oil,Free,2712.20.00,
,,Other,Free,2712.90.00,
22,kg,Paraffin wax,,,
23,kg,Other,,,
,,"PETROLEUM COKE, PETROLEUM BITUMEN AND OTHER RESIDUES OF PETROLEUM OILS OR OF OILS OBTAINED FROM BITUMINOUS MINERALS:",,,
,,Petroleum coke:,,,
24,t,Not calcined,Free,2713.11.00,
25,t,Calcined,Free,2713.12.00,
26,t,Petroleum bitumen,Free,2713.20.00,
27,kg,Other residues of petroleum oils or of oils obtained from bituminous minerals,Free,2713.90.00,
,,"BITUMEN AND ASPHALT, NATURAL; BITUMINOUS OR OIL SHALE AND TAR SANDS; ASPHALTITES AND ASPHALTIC ROCKS:",,,
28,kg,Bituminous or oil shale and tar sands,Free,2714.10.00,
29,kg,Other,Free,2714.90.00,
32,kg,"BITUMINOUS MIXTURES BASED ON NATURAL ASPHALT, ON NATURAL BITUMEN, ON PETROLEUM BITUMEN, ON MINERAL TAR OR ON MINERAL TAR PITCH (FOR EXAMPLE, BITUMINOUS MASTICS, CUT  BACKS)",5% DCS:4% CA:Free DCT:5%,2715.00.00,
,,"FLUORINE, CHLORINE, BROMINE AND IODINE:",,,
1,kg,Chlorine,Free,2801.10.00,
2,kg,Iodine,Free,2801.20.00,
3,kg,Fluorine; bromine,Free,2801.30.00,
4,kg,"SULPHUR, SUBLIMED OR PRECIPITATED; COLLOIDAL SULPHUR",Free,2802.00.00,
31,kg,CARBON (CARBON BLACKS AND OTHER FORMS OF CARBON NOT ELSEWHERE SPECIFIED OR INCLUDED),Free,2803.00.00,
,,"HYDROGEN, RARE GASES AND OTHER NON  METALS:",,,
7,kg,Hydrogen,Free,2804.10.00,
,,Rare gases:,,,
8,kg,Argon,Free,2804.21.00,
9,kg,Other,Free,2804.29.00,
10,kg,Nitrogen,Free,2804.30.00,
11,kg,Oxygen,Free,2804.40.00,
12,kg,Boron; tellurium,Free,2804.50.00,
,,Silicon:,,,
13,kg,Containing by weight not less than 9999% of silicon,Free,2804.61.00,
14,kg,Other,Free,2804.69.00,
15,kg,Phosphorus,Free,2804.70.00,
16,kg,Arsenic,Free,2804.80.00,
17,kg,Selenium,Free,2804.90.00,
,,"ALKALI OR ALKALINE  EARTH METALS; RARE  EARTH METALS, SCANDIUM AND YTTRIUM, WHETHER OR NOT INTERMIXED OR INTERALLOYED; MERCURY:",,,
,,Alkali or alkaline  earth metals:,,,
18,kg,Sodium,Free,2805.11.00,
50,kg,Calcium,Free,2805.12.00,
58,kg,Other,Free,2805.19.00,
22,kg,"Rare  earth metals, scandium and yttrium whether or not intermixed or interalloyed",Free,2805.30.00,
23,kg,Mercury,Free,2805.40.00,
,,HYDROGEN CHLORIDE (HYDROCHLORIC ACID); CHLOROSULPHURIC ACID:,,2806,
24,kg,Hydrogen chloride (hydrochloric acid),Free,2806.10.00,
25,kg,Chlorosulphuric acid,Free,2806.20.00,
26,kg,SULPHURIC ACID; OLEUM,Free,2807.00.00,
27,kg,NITRIC ACID; SULPHONITRIC ACIDS,Free,2808.00.00,
,,"DIPHOSPHORUS PENTAOXIDE; PHOSPHORIC ACID; POLYPHOSPHORIC ACIDS, WHETHER OR NOT CHEMICALLY DEFINED:",,2809,
28,kg,Diphosphorus pentaoxide,Free,2809.10.00,
,,Phosphoric acid and polyphosphoric acids:,,2809.2,
29,kg,"Phosphoric acid, containing by weight: 045%, or more, in a combined amount, of iron, aluminium and magnesium; and05%, or more, of sulphuric acid, based on an acid containing by weight, 75% orthophosphoric acid",Free,2809.20.10,
30,kg,Other,5%,2809.20.90,
1,kg,OXIDES OF BORON; BORIC ACIDS,Free,2810.00.00,
,,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON  METALS:,,2811,
,,Other inorganic acids:,,2811.1,
2,kg,Hydrogen fluoride (hydrofluoric acid),Free,2811.11.00,
3,kg,Hydrogen cyanide (hydrocyanic acid),Free,2811.12.00,
39,kg,Other,Free,2811.19.00,
,,Other inorganic oxygen compounds of non  metals:,,2811.2,
4,kg,Carbon dioxide,Free,2811.21.00,
5,kg,Silicon dioxide,Free,2811.22.00,
6,kg,Other,Free,2811.29.00,
,,HALIDES AND HALIDE OXIDES OF NON  METALS:,,2812,
,,Chlorides and chloride oxides:,Free,2812.1,
44,kg,Carbonyl dichloride (phosgene),Free,2812.11.00,
45,kg,Phosphorus oxychloride,Free,2812.12.00,
46,kg,Phosphorus trichloride,Free,2812.13.00,
47,kg,Phosphorus pentachloride,Free,2812.14.00,
48,kg,Sulphur monochloride,Free,2812.15.00,
49,kg,Sulphur dichloride,Free,2812.16.00,
51,kg,Thionyl chloride,Free,2812.17.00,
,,Other,Free,2812.19.00,
53,kg,Arsenic trichloride (CAS 7784  34  1),,,
54,kg,Other,,,
10,kg,Other,Free,2812.90.00,
,,SULPHIDES OF NON  METALS; COMMERCIAL PHOSPHORUS TRISULPHIDE:,,2813,
11,kg,Carbon disulphide,Free,2813.10.00,
,,Other,Free,2813.90.00,
15,kg,Phosphorus pentasulphide (CAS 1314  80  3),,,
90,kg,Other,,,
,,"AMMONIA, ANHYDROUS OR IN AQUEOUS SOLUTION:",,,
13,kg,Anhydrous ammonia,Free,2814.10.00,
14,L,Ammonia in aqueous solution,Free,2814.20.00,
,,SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM:,,2815,
,,Sodium hydroxide (caustic soda):,,2815.1,
15,kg,Solid,Free,2815.11.00,
31,kg †,In aqueous solution (soda lye or liquid soda),Free,2815.12.00,
17,kg,Potassium hydroxide (caustic potash),Free,2815.20.00,
18,kg,Peroxides of sodium or potassium,Free,2815.30.00,
,,"HYDROXIDE AND PEROXIDE OF MAGNESIUM; OXIDES, HYDROXIDES AND PEROXIDES, OF STRONTIUM OR BARIUM:",,2816,
19,kg,Hydroxide and peroxide of magnesium,Free,2816.10.00,
20,kg,"Oxides, hydroxides and peroxides, of strontium or barium",Free,2816.40.00,
22,kg,ZINC OXIDE; ZINC PEROXIDE,Free,2817.00.00,
,,"ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED; ALUMINIUM OXIDE; ALUMINIUM HYDROXIDE:",,2818,
,,"Artificial corundum, whether or not chemically defined:",,2818.1,
32,kg,Chemically defined,Free,2818.10.10,
33,kg,Other,5%,2818.10.90,
34,kg,"Aluminium oxide, other than artificial corundum",Free,2818.20.00,
25,kg,Aluminium hydroxide,Free,2818.30.00,
,,CHROMIUM OXIDES AND HYDROXIDES:,,2819,
26,kg,Chromium trioxide,Free,2819.10.00,
45,kg,Other,Free,2819.90.00,
,,MANGANESE OXIDES:,,2829,
29,kg,Manganese dioxide,Free,2820.10.00,
30,kg,Other,Free,2820.90.00,
,,IRON OXIDES AND HYDROXIDES; EARTH COLOURS CONTAINING 70% OR MORE BY WEIGHT OF COMBINED IRON EVALUATED AS Fe2O3:,,2821,
,,Iron oxides and hydroxides,Free,2821.10.00,
32,kg,Black,,,
34,kg,Red,,,
35,kg,Yellow,,,
38,kg,Other,,,
37,kg,Earth colours,Free,2821.20.00,
7,kg,COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES,Free,2822.00.00,
39,kg,TITANIUM OXIDES,Free,2823.00.00,
,,LEAD OXIDES; RED LEAD AND ORANGE LEAD:,,,
10,kg,"Lead monoxide (litharge, massicot)",Free,2824.10.00,
31,kg,Other,Free,2824.90.00,
,,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; OTHER INORGANIC BASES; OTHER METAL OXIDES, HYDROXIDES AND PEROXIDES:",,2825,
13,kg,Hydrazine and hydroxylamine and their inorganic salts,Free,2825.10.00,
14,kg,Lithium oxide and hydroxide,Free,2825.20.00,
15,kg,Vanadium oxides and hydroxides,Free,2825.30.00,
16,kg,Nickel oxides and hydroxides,Free,2825.40.00,
17,kg,Copper oxides and hydroxides,Free,2825.50.00,
18,kg,Germanium oxides and zirconium dioxide,Free,2825.60.00,
19,kg,Molybdenum oxides and hydroxides,Free,2825.70.00,
20,kg,Antimony oxides,Free,2825.80.00,
29,kg,Other,Free,2825.90.00,
,,"FLUORIDES; FLUOROSILICATES, FLUOROALUMINATES AND OTHER COMPLEX FLUORINE SALTS:",,2826,
,,Fluorides:,,2826.1,
23,kg,Of aluminium,Free,2826.12.00,
,,Other,Free,2826.19.00,
,,Of ammonium or of sodium:,,,
31,kg,Ammonium bifluoride (CAS 1341  49  7),,,
32,kg,Sodium fluoride (CAS 7681  49  4),,,
33,kg,Sodium bifluoride (CAS 1333  83  1),,,
39,kg,Other,,,
,,Other:,,,
51,kg,Potassium fluoride (CAS 7789  23  3),,,
53,kg,Potassium bifluoride (CAS 7789  29  9),,,
90,kg,Other,,,
26,kg,Sodium hexafluoroaluminate (synthetic cryolite),Free,2826.30.00,
36,kg,Other,Free,2826.90.00,
,,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES:",,,
28,kg,Ammonium chloride,Free,2827.10.00,
29,kg,Calcium chloride,Free,2827.20.00,
,,Other chlorides:,,2827.3,
30,kg,Of magnesium,Free,2827.31.00,
31,kg,Of aluminium,Free,2827.32.00,
3,kg,Of nickel,Free,2827.35.00,
10,kg,Other,Free,2827.39.00,
,,Chloride oxides and chloride hydroxides:,,2827.4,
8,kg,Of copper,Free,2827.41.00,
10,kg,Other,Free,2827.49.00,
,,Bromides and bromide oxides:,,2827.5,
40,kg,Bromides of sodium or of potassium,Free,2827.51.00,
12,kg,Other,Free,2827.59.00,
5,kg,Iodides and iodide oxides,Free,2827.60.00,
,,HYPOCHLORITES; COMMERCIAL CALCIUM HYPOCHLORITE; CHLORITES; HYPOBROMITES:,,2828,
14,t,Commercial calcium hypochlorite and other calcium hypochlorites,Free,2828.10.00,
15,kg,Other,Free,2828.90.00,
,,CHLORATES AND PERCHLORATES; BROMATES AND PERBROMATES; IODATES AND PERIODATES:,,2829,
,,Chlorates:,,2829.1,
16,kg,Of sodium,Free,2829.11.00,
17,kg,Other,Free,2829.19.00,
18,kg,Other,Free,2829.90.00,
,,"SULPHIDES; POLYSULPHIDES, WHETHER OR NOT CHEMICALLY DEFINED:",,2830,
,,Sodium sulphides,Free,2830.10.00,
30,kg,Sodium sulphide (CAS 1313  82  2),,,
90,kg,Other,,,
50,kg,Other,Free,2830.90.00,
,,DITHIONITES AND SULPHOXYLATES:,,,
23,kg,Of sodium,Free,2831.10.00,
24,kg,Other,Free,2831.90.00,
,,SULPHITES; THIOSULPHATES:,,,
25,kg,Sodium sulphites,Free,2832.10.00,
26,kg,Other sulphites,Free,2832.20.00,
27,kg,Thiosulphates,Free,2832.30.00,
,,SULPHATES; ALUMS; PEROXOSULPHATES (PERSULPHATES):,,,
,,Sodium sulphates:,,,
28,kg,Disodium sulphate,5%,2833.11.00,
29,kg,Other,Free,2833.19.00,
,,Other sulphates:,,,
30,kg,Of magnesium,5%,2833.21.00,
1,kg,Of aluminium,5%,2833.22.00,
3,kg,Of nickel,Free,2833.24.00,
4,kg,Of copper,5%,2833.25.00,
6,kg,Of barium,Free,2833.27.00,
,,Other:,,,
15,kg,Of zinc,5%,2833.29.10,
17,kg,Other,Free,2833.29.90,
8,kg,Alums,Free,2833.30.00,
9,kg,Peroxosulphates (persulphates),Free,2833.40.00,
,,NITRITES; NITRATES:,,2834,
10,kg,Nitrites,Free,2834.10.00,
,,Nitrates:,,2834.2,
11,kg,Of potassium,Free,2834.21.00,
18,kg,Other,Free,2834.29.00,
,,"PHOSPHINATES (HYPOPHOSPHITES), PHOSPHONATES (PHOSPHITES), PHOSPHATES; POLYPHOSPHATES, WHETHER OR NOT CHEMICALLY DEFINED:",,,
14,kg,Phosphinates (hypophosphites) and phosphonates (phosphites),Free,2835.10.00,
,,Phosphates:,,2835.2,
16,kg,Of mono  or disodium,5%,2835.22.00,
18,kg,Of potassium,Free,2835.24.00,
19,kg,"Calcium hydrogenorthophosphate (""dicalcium phosphate"")",Free,2835.25.00,
20,kg,Other phosphates of calcium,5%,2835.26.00,
25,kg,Other,Free,2835.29.00,
,,Polyphosphates:,,2835,
22,kg,Sodium triphosphate (sodium tripolyphosphate),5%,2835.31.00,
,,Other:,,2835.3,
23,kg,"Of sodium, including pyrophosphates and metaphosphates",5%,2835.39.10,
27,kg,Other,Free,2835.39.90,
