"Chapter","Page","Item","Description","Unit","Custom Fee","VAT","Product Type","Agreement details"
"1","3","""0106110000""","Primates, live","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","3","""0106120010""","Of whales, dolphins and porpoises (mammals of the order catacea), manatees and dugongs (mammals of the order sirenia). for human usage","Numrical","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","3","""0106120090""","Of whales, dolphins and porpoises (mammals of the order catacea), manatees and dugongs (mammals of the order sirenia). for non human usage","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","3","""0106130010""","Camels and other camelids, live, for human usage","Numrical","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","3","""0106130090""","Camels and other camelids, live, for non  human usage","Numrical","0%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","3","""0106140010""","Rabbits and hares, live, for human usage","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","4","""0106140090""","Rabbits and hares, live, for non human usage","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","4","""0106190010""","Mink, live","Numrical","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","4","""0106190090""","Other mammals, live, nes","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","4","""0106200000""","Reptiles, including snakes and turtles, live","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","4","""0106310010""","Hawks for hunting, live.","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","4","""0106310090""","other","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","4","""0106320000""","Psittaciformes, including parrots, parakeets, macaws and cockatoos, live","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","4","""0106330010""","Ostriches, emus, live, for human usage","Numrical","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","4","""0106330090""","Ostriches, emus, live, for non human usage","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","4","""0106390010""","Pet or song birds, live","Numrical","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","5","""0106390090""","Other birds, live, nes","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","5","""0106410000""","Honey bees, live, not including queen bees","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","5","""0106490000""","Insects, live, nes","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","5","""0106900010""","Bait, live","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","5","""0106900030""","Live frogs, for human use","Numrical","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","5","""0106900050""","Live frogs, for non human use","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"1","5","""0106900090""","Other Live animals,Other than the above","Numrical","5%","VAT...0% from the value + customs fees","Investment goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"2","1","""0201100000""","Bovine carcasses and half-carcasses, fresh or chilled","Ton Net","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"2","1","""0201200000""","Bovine cuts bone in, fresh or chilled, nes","Ton Net","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"2","1","""0201300000""","Veal cuts, boneless, fresh or chilled","Ton Net","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"2","1","""0202100000""","Bovine carcasses and half-carcasses, frozen","Ton Net","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"2","1","""0202200000""","Veal cuts bone in, frozen","Ton Net","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"2","1","""0202300000""","Veal cuts, boneless, frozen","Ton Net","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"2","1","""0203110000""","Swine carcasses and half-carcasses, fresh or chilled","Ton Net","20%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Exclude product  in Annex 1 Protocol 2 of the exemption on products | Mercosur: 12.5% reduction per year since the entry into force of the Convention."
"2","1","""0203120000""","Hams, shoulders and cuts thereof, of swine, bone in, fresh or chilled","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Exclude product  in Annex 1 Protocol 2 of the exemption on products | Mercosur: 10% reduction per year since the entry into force of the Convention."
"2","1","""0203190000""","Swine spare ribs, fresh or chilled","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Exclude product  in Annex 1 Protocol 2 of the exemption on products | Mercosur: 10% reduction per year since the entry into force of the Convention."
"2","1","""0203210000""","Swine carcasses and half","Ton Net","20%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Exclude product  in Annex 1 Protocol 2 of the exemption on products | Mercosur: 10% reduction per year since the entry into force of the Convention."
"2","2","""0203220000""","Hams, shoulders and cuts thereof, of swine, bone in, frozen","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Exclude product  in Annex 1 Protocol 2 of the exemption on products | Mercosur: 10% reduction per year since the entry into force of the Convention."
"2","2","""0203290000""","Swine spare ribs, frozen","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Exclude product  in Annex 1 Protocol 2 of the exemption on products | Mercosur: 10% reduction per year since the entry into force of the Convention."
"2","2","""0204100000""","Lamb carcasses and half","Ton Net","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"2","2","""0204210000""","Sheep carcasses and half carcasses, fresh or chilled (Kilogram)","Ton Net","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"2","2","""0204220000""","Lamb and mutton cuts, bone in, fresh or chilled (Kilogram)","Ton Net","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"2","2","""0204230000""","Sheep cuts, boneless, fresh or chilled (Kilogram)","Ton Net","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"2","2","""0204300000""","Lamb carcasses and half","Ton Net","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"2","2","""0204410000""","Sheep carcasses and half","Ton Net","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"2","2","""0204420000""","Lamb cuts, bone in, frozen","Ton Net","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"2","2","""0204430000""","Lamb cuts, boneless, frozen","Ton Net","0%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"2","3","""0204500000""","N/A","N/A","N/A","N/A","N/A","N/A"
"2","3","""0205000000""","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.","Ton Net","N/A","N/A","N/A","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 12.5% reduction per year since the entry into force of the Convention."
"2","3","""0206100000""","Bovine edible offal, fresh or chilled (Kilogram)","Ton Net","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Immediate exemption since the entry into force of the Convention."
"2","3","""0206210000""","Bovine tongues, edible offal, frozen (Kilogram)","Ton Net","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 12.5% reduction per year since the entry into force of the Convention."
"2","3","""0206220000""","Bovine livers, edible offal, frozen (Kilogram)","Ton Net","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 12.5% reduction per year since the entry into force of the Convention. | : "
"2","3","""0206290000""","Bovine edible offal, frozen, nes (Kilogram)","Ton Net","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 12.5% reduction per year since the entry into force of the Convention. | : "
"2","3","""0206300000""","Swine, edible offal, fresh or chilled (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Exclude product  in Annex 1 Protocol 2 of the exemption on products | Mercosur: 10% reduction per year since the entry into force of the Convention."
"2","3","""0206410000""","Swine livers, edible offal, frozen (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Exclude product  in Annex 1 Protocol 2 of the exemption on products | Mercosur: 10% reduction per year since the entry into force of the Convention."
"2","3","""0206490000""","Swine, edible offal, frozen, nes (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Exclude product  in Annex 1 Protocol 2 of the exemption on products | Mercosur: 10% reduction per year since the entry into force of the Convention."
"2","3","""0206800000""","Sheep, goats, horses, asses, mules or hinnies, edible offal, fresh or chilled (Kilogram)","Ton Net","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 12.5% reduction per year since the entry into force of the Convention."
"2","4","""0206800010""","Sheep, goats, horses, asses, mules or hinnies, edible offal, fresh or chilled (Kilogram)","Ton Net","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 12.5% reduction per year since the entry into force of the Convention."
"2","4","""0206800090""","Sheep, goats, horses, asses, mules or hinnies, edible offal, fresh or chilled (Kilogram)","Ton Net","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 12.5% reduction per year since the entry into force of the Convention."
"2","4","""0206900000""","Sheep, goats, horses, asses, mules or hinnies, edible offal, frozen (Kilogram)","Ton Net","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 12.5% reduction per year since the entry into force of the Convention."
"2","4","""0206900010""","Sheep, goats, horses, asses, mules or hinnies, edible offal, frozen (Kilogram)","Ton Net","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 12.5% reduction per year since the entry into force of the Convention."
"2","4","""0206900090""","Sheep, goats, horses, asses, mules or hinnies, edible offal, frozen (Kilogram)","Ton Net","5%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 12.5% reduction per year since the entry into force of the Convention."
"2","4","""0207110000""","N/A","N/A","N/A","N/A","N/A","N/A"
"2","4","""0207120000""","Meat,of spent fowl of species Gallus domesticus,not cut in pieces,Frozen","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: The tariff is reduced by 35% for a tariff quota of 5000 tons"
"2","4","""0207130000""","Cuts & edible offal,of spent fowl of the species Gallus domesticus,fresh/chilled","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted | Mercosur: 10% Annual reduction (Brazil)"
"2","4","""0207140000""","Cuts & edible offal,of spent fowl of the species Gallus domesticusFrozen","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted | Mercosur: 10% Annual reduction (Brazil)"
"2","4","""0207240000""","Turkeys, domestic, whole, fresh/chilled, canner pack, within access commitment","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted | Mercosur: 10% Annual reduction (Brazil)"
"2","5","""0207250000""","Turkeys, domestic, whole, frozen, canner pack, within access commitment","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted | Mercosur: 10% Annual reduction (Brazil)"
"2","5","""0207260000""","Turkey cuts & offal, domestic, fresh or chilled, within access commitment","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted"
"2","5","""0207270000""","Turkey livers, domestic, frozen, within access commitment","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted"
"2","5","""0207410000""","Meat and edible offal, of domestic ducks, not cut in pieces, fresh or chilled (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted"
"2","5","""0207420000""","Meat and edible offal, of domestic ducks, not cut in pieces, frozen (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted"
"2","5","""0207430000""","Fatty livers, of domestic ducks, fresh or chilled (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted"
"2","5","""0207440000""","Meat and edible offal, of domestic ducks, fresh or chilled,nes (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted"
"2","5","""0207450000""","Domestic duck livers, frozen","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted"
"2","5","""0207510000""","Meat & edible offal, of dom geese, not cut in pieces,fresh/chill,o/t fatty liver","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted"
"2","5","""0207520000""","Meat & edible offal, of domestic geese, not cut in pieces, frozen, o/t liver (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted"
"2","6","""0207530000""","Fatty livers of domestic geese, fresh or chilled (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted"
"2","6","""0207540000""","Meat and edible offal, of dom geese, fresh or chilled,o/t fatty livers,nes (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted"
"2","6","""0207550000""","Domestic geese livers, frozen, nes","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted"
"2","6","""0207600010""","Meat & edible offal, of domestic guinea fowls,not cut in pieces,fresh or chilled or frozen","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted"
"2","6","""0207600090""","Livers, of domestic guinea fowls, ,fresh or chilled or frozen","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: Sensitive items not currently discounted"
"2","6","""0208100000""","Rabbit or hare meat and edible meat offal, fresh, chilled or frozen (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 10% reduction per year since the entry into force of the Convention."
"2","6","""0208300000""","Meat and edible meat offal of primates, fresh, chilled or frozen (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 10% reduction per year since the entry into force of the Convention."
"2","6","""0208400000""","Meat&edbl meat offal of whale,dolphin, porpoise,manatees,dugong, fr,chill/frz (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 10% reduction per year since the entry into force of the Convention."
"2","6","""0208500000""","Meat and edible meat offal of reptiles,incl snakes and turtles,fresh,chilled/frz (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 10% reduction per year since the entry into force of the Convention."
"2","6","""0208600000""","Meat and edible meat offal, of camels and other camelids, fresh/chilled/frozen (Kilogram)","Ton Net","0%","VAT...0% from the value + customs fees","Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 10% reduction per year since the entry into force of the Convention."
"2","7","""0208900010""","Deer meat and edible offal, fresh, chilled or frozen (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 10% reduction per year since the entry into force of the Convention."
"2","7","""0208900090""","Other meat and edible meat offal, fresh, chilled or frozen, nes (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Full exemption from customs fees | Mercosur: 10% reduction per year since the entry into force of the Convention."
"2","7","""0209100000""","Pig fat,lean meat free,n rendered or o/w extrc,fr/chd/frz/sa/in brine/dr/smoked (Kilogram)","Ton Net","20%","VAT...14% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Exclude product  in Annex 1 Protocol 2 of the exemption on products | Mercosur: 12.5% reduction per year since the entry into force of the Convention."
"2","7","""0209900000""","Fat,of fowls Gallus domesticus,n rendered or o/w extrc,fr/chd/frz/sa/etc,w/a com","Ton Net","20%","VAT...14% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Exclude product  in Annex 1 Protocol 2 of the exemption on products | Mercosur: 12.5% reduction per year since the entry into force of the Convention."
"2","7","""0210110000""","Hams, shoulders and cuts thereof, of swine, with bone in, cured (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Exclude product  in Annex 1 Protocol 2 of the exemption on products | Mercosur: 10% reduction per year since the entry into force of the Convention."
"2","7","""0210120000""","Bellies, streaky and cuts thereof, of swine, cured (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Exclude product  in Annex 1 Protocol 2 of the exemption on products | Mercosur: 10% reduction per year since the entry into force of the Convention."
"2","7","""0210190000""","Meat of swine, nes, salted, in brine, dried or smoked (Kilogram)","Ton Net","30%","VAT...0% from the value + customs fees","Non- Durable Consumption goods","Egypt – EU Association Agreement: Exclude product  in Annex 1 Protocol 2 of the exemption on products | Mercosur: 10% reduction per year since the entry into force of the Convention."
