Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
,11H,kg,". . Folder manilla, file manilla, tag manilla, document manilla,",,
,,,"time card manilla, pattern manilla and the like",,
,19C,kg,Other,,
,,, Multiply paper and paperboard:,,
4802.58.21,,,  Linerboard,Free,Free
,,,Each layer bleached:,,
,11H,kg,In rolls,,
,19C,kg,In sheets,,
,,,With only one layer bleached:,,
,21E,kg,In rolls,,
,29L,kg,In sheets,,
,,,"Having 3 or more layers, of which only the two outer layers",,
,,,are bleached:,,
,31B,kg,In rolls,,
,39H,kg,In sheets,,
,,,Other:,,
,41K,kg,In rolls,,
,49E,kg,In sheets,,
4802.58.29,00C,kg,  Other,Free,Free
4802.58.35,00C,kg," Autoclave indicator paper, other than tape",Free,Free
4802.58.39,,, Other,Free,Free
,11D,kg,". . Folder manilla, file manilla, tag manilla, document manilla,",,
,,,"time card manilla, pattern manilla and the like",,
,17C,kg,Other,,
,,," Other paper and paperboard, of which more than 10 % by weight of the",,
,,,total fibre content consists of fibres obtained by a mechanical or,,
,,,chemimechanical process:,,
4802.61,,,  In rolls:,,
4802.61.11,10F,tne,Newsprint other than that described in heading 48.01,Free,Free
4802.61.13,,,Kraft paper and paperboard,Free,Free
,11G,kg,". Folder manilla, file manilla, tag manilla, document manilla,",,
,,,"time card manilla, pattern manilla and the like",,
,19B,kg,Other,,
4802.61.15,10A,kg,Printing and writing papers,Free,Free
4802.61.17,00G,kg,Linerboard,Free,Free
4802.61.19,10G,kg,Other,Free,Free
4802.62,,,  In sheets with one side not exceeding 435 mm and the other side not,,
,,,exceeding 297 mm in the unfolded state:,,
4802.62.11,10L,kg,Printing and writing papers,Free,Free
4802.62.15,00J,kg,Linerboard,Free,Free
4802.62.19,11K,kg,Other,Free,Free
4802.69,,,  Other:,,
4802.69.11,10B,kg,Printing and writing papers,Free,Free
4802.69.15,00L,kg,Linerboard,Free,Free
4802.69.19,10C,kg,Other,Free,Free
48.03,,,,,
4803,,,"Toilet or facial tissue stock, towel or napkin stock and similar paper",,
,,,"of a kind used for household or sanitary purposes, cellulose wadding",,
,,,"and webs of cellulose fibres, whether or not creped, crinkled,",,
,,,"embossed, perforated, surfacecoloured, surfacedecorated or",,
,,,"printed, in rolls or sheets:",,
4803.00.01,00E,kg, Tissue paper weighing not more than 22 g/m2,Free,Free
,,, Other:,,
4803.00.11,00L,kg,  Creped or crinkled,Free,Free
4803.00.19,00A,kg,  Embossed or perforated,Free,Free
4803.00.21,00F,kg,"  Surfacecoloured, surfacedecorated or printed",Free,Free
4803.00.29,00G,kg,  Cellulose wadding and webs of cellulose fibres,Free,Free
4803.00.39,00B,kg,  Other,Free,Free
48.04,,,"Uncoated kraft paper and paperboard, in rolls or sheets, other than",,
,,,that of heading 48.02 or 48.03:,,
,,, Kraftliner:,,
4804.11.00,,,  Unbleached,Free,Free
,01C,kg,In rolls,,
,09J,kg,Other,,
4804.19.00,00A,kg,  Other,Free,Free
,,, Sack kraft paper:,,
4804.21.00,00J,kg,  Unbleached,Free,Free
4804.29.00,00E,kg,  Other,Free,Free
,,, Other kraft paper and paperboard weighing 150 g/m2 or less:,,
4804.31,,,  Unbleached:,,
4804.31.01,00J,kg,Saturating base paper,Free,Free
4804.31.09,,,Other,Free,Free
,01H,kg,Bag paper (other than sack kraft),,
,09C,kg,Wrapping paper,,
,11E,kg,"Laminating paper and paperboard, tube winding kraft, corestock",,
,19L,kg,Electrical insulation paper,,
,21B,kg,Adhesive base paper,,
,29H,kg,"Cartonboard, boxboard",,
,39E,kg,Other,,
4804.39,,,  Other:,,
4804.39.01,00E,kg,Saturating base paper,Free,Free
4804.39.09,,,Other,Free,Free
,01D,kg,Bag paper (other than sack kraft),,
,09K,kg,Wrapping paper,,
,11A,kg,"Laminating paper and paperboard, tube winding kraft, corestock",,
,19G,kg,Electrical insulation paper,,
,21J,kg,Adhesive base paper,,
,29D,kg,"Solid bleached cartonboard, boxboard",,
,31F,kg,"Cartonboard, boxboard, other than solid bleached",,
,39A,kg,Waxing base paper,,
,41C,kg,Cupstock,,
,49J,kg,Other,,
,,, Other kraft paper and paperboard weighing more than 150 g/m2 but less,,
,,,than 225 g/m2:,,
4804.41,,,  Unbleached:,,
4804.41.01,00B,kg,Saturating base paper,Free,Free
4804.41.09,,,Other,Free,Free
,01A,kg,"Laminating paper and paperboard, tube winding kraft, corestock",,
,09G,kg,Electrical insulation paper,,
,11J,kg,"Cartonboard, boxboard",,
,19D,kg,Other,,
4804.42.00,,,  Bleached uniformly throughout the mass and of which more than 95%,,
,,,by weight of the total fibre content consists of wood fibres obtained by,,
,,,a chemical process,Free,Free
,01J,kg,"Laminating paper and paperboard, tube winding kraft, corestock",,
,09D,kg,"Cartonboard, boxboard",,
,19A,kg,Other,,
,,,"Uncoated kraft paper and paperboard, in rolls, etc.—continued",,
,,," Other kraft paper and paperboard weighing more than, etc.—continued",,
4804.49.00,,,  Other,Free,Free
,01L,kg,"Laminating paper and paperboard, tube winding kraft, corestock",,
,09F,kg,"Cartonboard, boxboard",,
,19C,kg,Other,,
,,, Other kraft paper and paperboard weighing 225 g/m2 or more:,,
4804.51.00,,,  Unbleached,Free,Free
,01H,kg,"Laminating paper and paperboard, tube winding kraft, corestock",,
,09C,kg,Electrical insulation paper,,
,11E,kg,"Cartonboard, boxboard",,
,19L,kg,Other,,
4804.52.00,,,  Bleached uniformly throughout the mass and of which more than 95%,,
,,,by weight of the total fibre content consists of wood fibres obtained by,,
,,,a chemical process,Free,Free
,01B,kg,"Laminating paper and paperboard, tube winding kraft, corestock",,
,09H,kg,"Cartonboard, boxboard",,
,19E,kg,Other,,
4804.59.00,,,  Other,Free,Free
,01D,kg,"Laminating paper and paperboard, tube winding kraft, corestock",,
,09K,kg,"Cartonboard, boxboard",,
,19G,kg,Other,,
48.05,,,"Other uncoated paper and paperboard, in rolls or sheets, not further",,
,,,worked or processed than as specified in Note 3 to this Chapter:,,
,,, Fluting paper:,,
4805.11,,,  Semi-chemical fluting paper:,,
4805.11.11,00E,kg,Weighing less than 183 g/m2,Free,Free
4805.11.19,00F,kg,Weighing not less than 183 g/m2,Free,Free
4805.12,,,  Straw fluting paper:,,
4805.12.11,00K,kg,Weighing less than 150 g/m2,Free,Free
4805.12.19,00L,kg,Other,Free,Free
4805.19.00,00K,kg,  Other,Free,Free
,,, Testliner (recycled liner board):,,
4805.24.00,,,  Weighing 150 g/m2 or less,Free,Free
,11F,kg,In rolls,,
,14L,kg,"In sheets of an area less than 1,935 cm2",,
,19A,kg,Other sheets,,
4805.25,,,  Weighing more than 150 g/m2:,,
4805.25.11,,,Weighing more than 150 g/m2 but less than 225 g/m2,Free,Free
,11B,kg,In rolls,,
,14G,kg,"In sheets of an area less than 1,935 cm2",,
,19H,kg,Other sheets,,
4805.25.19,,,Weighing 225 g/m2 or more,Free,Free
,11C,kg,In rolls,,
,19J,kg,Other,,
4805.30.00,00F,kg, Sulphite wrapping paper,Free,Free
4805.40.00,00K,kg, Filter paper and paperboard,Free,Free
4805.50.00,00C,kg, Felt paper and paperboard,Free,Free
,,,"Other uncoated paper and paperboard, in rolls, etc.—continued",,
,,, Other:,,
4805.91.00,,,  Weighing 150 g/m2 or less:,Free,Free
,11H,kg,In rolls,,
,19C,kg,In sheets,,
4805.92.00,,,  Weighing more than 150 g/m2 but less than 225 g/m2,Free,Free
,11B,kg,Saturating base paper,,
,19H,kg,Wrapping paper,,
,,,Other:,,
,21K,kg,Bag paper,,
,23F,kg,"Laminating paper and paperboard, tube winding paper and",,
,,,"paperboard, corestock",,
,25B,kg,"Cartonboard, boxboard",,
,27J,kg,Plasterboard lining paper,,
,29E,kg,Other,,
4805.93.00,,,  Weighing 225 g/m2 or more,Free,Free
,11G,kg,"Laminating paper and paperboard, tube winding paper and",,
,,,"paperboard, corestock",,
,13C,kg,"Cartonboard, boxboard",,
,17F,kg,Plasterboard lining paper,,
,19B,kg,Other,,
48.06,,,"Vegetable parchment, greaseproof papers, tracing papers and glassine",,
,,,"and other glazed transparent or translucent papers, in rolls or sheets:",,
4806.10.00,00G,kg, Vegetable parchment,Free,Free
4806.20.00,00L,kg, Greaseproof papers,Free,Free
4806.30.00,00D,kg, Tracing papers,Free,Free
4806.40.00,00H,kg, Glassine and other glazed transparent or translucent papers,Free,Free
48.07,,,,,
4807.00.00,,,Composite paper and paperboard (made by sticking flat layers of,,
,,,"paper or paperboard together with an adhesive), not surface-coated",,
,,,"or impregnated, whether or not internally reinforced, in rolls or sheets",Free,Free
,11G,kg,"Paper and paperboard, laminated internally with bitumen, tar or asphalt",,
,19B,kg,"Straw paper and paperboard, whether or not covered with paper other",,
,,,than straw paper,,
,,,Other:,,
,21D,kg,"Bristols, ivory board, index or systems board and the like",,
,23L,kg,". . Folder manilla, file manilla, tag manilla, document manilla, time card",,
,,,"manilla, pattern manilla and the like",,
,25G,kg,"Cartonboard, boxboard",,
,29K,kg,Other,,
48.08,,,"Paper and paperboard, corrugated (with or without glued flat surface",,
,,,"sheets), creped, crinkled, embossed or perforated, in rolls or sheets,",,
,,,other than paper of the kind described in heading 48.03:,,
4808.10.00,00C,kg," Corrugated paper and paperboard, whether or not perforated",Free,Free
4808.40.00,,," Kraft paper, creped or crinkled, whether or not embossed or perforated",Free,Free
,,,"Sack kraft paper, creped or crinkled, whether or not embossed or",,
,,,perforated:,,
,10A,kg,Embossed or perforated,,
,15B,kg,Other,,
,,,".Other kraft paper, creped or crinkled, whether or not embossed or",,
,,,perforated:,,
,,,Embossed or perforated:,,
,19E,kg,Continuous computer listing paper,,
,25K,kg,Other,,
,29B,kg,Other,,
4808.9,,, Other:,,
4808.90.01,,,  Embossed or perforated,Free,Free
,01G,kg,Continuous computer listing paper,,
,09B,kg,Other,,
4808.90.09,00K,kg,  Other,Free,Free
48.09,,,"Carbon paper, selfcopy paper and other copying or transfer papers",,
,,,(including coated or impregnated paper for duplicator stencils or,,
,,,"offset plates), whether or not printed, in rolls or sheets:",,
4809.20.00,,, Selfcopy paper,Free,Free
,01C,kg,In rolls,,
,09J,kg,In sheets,,
4809.9,,, Other:,,
4809.90.01,00G,kg,  Transfer paper other than printing and writing paper,Free,Free
4809.90.09,,,  Other,Free,Free
,10E,kg,Carbon or similar copying papers,,
,19J,kg,Other,,
48.1,,,"Paper and paperboard, coated on one or both sides with kaolin",,
,,,"(China clay) or other inorganic substances, with or without a binder,",,
,,,"and with no other coating, whether or not surfacecoloured, surface",,
,,,"decorated or printed, in rolls or rectangular (including square) sheets,",,
,,,of any size:,,
,,," Paper and paperboard of a kind used for writing, printing or other graphic",,
,,,"purposes, not containing fibres obtained by a mechanical or",,
,,,chemi-mechanical process or of which not more than 10 % by weight of,,
,,,the total fibre content consists of such fibres:,,
4810.13,,,  In rolls:,,
,,,Printing and writing paper and paperboard:,,
4810.13.11,00L,. .," Rolls, printed for self-recording apparatus",Free,Free
4810.13.15,,, Other,Free,Free
,11A,kg,Printed,,
,13H,kg,Coated with metal powder or mica powder,,
,15D,kg,Zinc oxide coated,,
,17L,kg,Cast coated,,
,19G,kg,Other,,
4810.13.19,,,Other,Free,Free
,11G,kg,Printed,,
,19B,kg,Other,,
4810.14,,,  In sheets with one side not exceeding 435 mm and the other side not,,
,,,exceeding 297 mm in the unfolded state:,,
,,,Printing and writing paper and paperboard:,,
4810.14.11,00E,. .," Sheets, printed for self-recording apparatus",Free,Free
4810.14.13,,, Other,Free,Free
,11C,kg,"Printed, embossed or perforated",,
,13K,kg,Coated with metal powder or mica powder,,
,15F,kg,Zinc oxide coated,,
,17B,kg,Cast coated,,
,19J,kg,Other,,
4810.14.19,00F,kg,Other,Free,Free
4810.19.00,00F,kg,  Other,Free,Free
,,," Paper and paperboard of a kind used for writing, printing or other graphic",,
,,,"purposes, of which more than 10 % by weight of the total fibre content",,
,,,consists of fibres obtained by a mechanical or chemi-mechanical process:,,
4810.22,,,  Light-weight coated paper:,,
4810.22.11,00K,. .,"Rolls, sheets and dials, printed for self-recording apparatus",Free,Free
4810.22.13,00B,kg,"Autoclave indicator paper, other than tape",Free,Free
,,,"In strips or rolls of a width exceeding 15 cm, or in rectangular",,
,,,(including square) sheets with one side exceeding 36 cm and the,,
,,,other side exceeding 15 cm in the unfolded state:,,
4810.22.15,,, Printing and writing paper and paperboard,Free,Free
,11L,kg,Printed,,
,19F,kg,Other,,
4810.22.19,00L,. ., Other,Free,Free
4810.22.29,00F,. .,"Other paper and paperboard, of a kind used for writing, printing or",,
,,,other graphic purposes,Free,Free
,,,"Paper and paperboard, coated on one or both sides, etc.—continued",,
,,," Paper and paperboard of a kind used for writing, etc.—continued",,
4810.29,,,  Other:,,
4810.29.01,,,Printing and writing paper and paperboard,Free,Free
,01D,kg,Printed,,
,09K,kg,Coated with metal powder or mica powder,,
,19G,kg,Zinc oxide coated,,
,,,Other:,,
,21J,kg,In rolls,,
,29D,kg,Other,,
4810.29.09,,,Other,Free,Free
,01E,kg,Printed,,
,09L,kg,Wallpaper base,,
,,,Other:,,
,11B,kg,In rolls,,
,19H,kg,Other,,
,,," Kraft paper and paperboard, other than that of a kind used for writing,",,
,,,printing or other graphic purposes:,,
4810.31.00,,,  Bleached uniformly throughout the mass and of which more than,,
,,,95% by weight of the total fibre content consists of wood fibres,,
,,,"obtained by a chemical process, and weighing 150 g/m2 or less",Free,Free
,,,Printed:,,
,01E,kg,Wrapping paper and paperboard,,
,09L,kg,Cartonboard or boxboard,,
,19H,kg,Other,,
,,,Other:,,
,21K,kg,Wrapping paper and paperboard,,
,29E,kg,Cartonboard or boxboard,,
,39B,kg,Other,,
4810.32.00,,,  Bleached uniformly throughout the mass and of which more than,,
,,,95% by weight of the total fibre content consists of wood fibres,,
,,,"obtained by a chemical process, and weighing more than 150 g/m2",Free,Free
,,,Printed:,,
,01K,kg,Wrapping paper and paperboard,,
,09E,kg,Cartonboard or boxboard,,
,19B,kg,Other,,
,,,Other:,,
,21D,kg,Wrapping paper and paperboard,,
,29K,kg,Cartonboard or boxboard,,
,39G,kg,Other,,
4810.39.00,,,  Other,Free,Free
,,,Printed:,,
,01A,kg,Wrapping paper and paperboard,,
,09G,kg,Cartonboard or boxboard,,
,19D,kg,Other,,
,,,Other:,,
,21F,kg,Wrapping paper and paperboard,,
,29A,kg,Cartonboard or boxboard,,
,39J,kg,Other,,
,,, Other paper and paperboard:,,
4810.92.00,,,  Multiply,Free,Free
,,,Printed:,,
,01A,kg,Cartonboard or boxboard,,
,09G,kg,Other packaging paper and paperboard,,
,19D,kg,Other,,
,,,Other:,,
,21F,kg,Cartonboard or boxboard,,
,29A,kg,Other packaging paper and paperboard,,
,39J,kg,Other,,
4810.99.00,,,  Other,Free,Free
,,,Printed:,,
,01C,kg,Wrapping paper and paperboard,,
,09J,kg,Cartonboard or boxboard,,
,19F,kg,Other,,
,,,Other:,,
,21H,kg,Wrapping paper and paperboard,,
,29C,kg,Cartonboard or boxboard,,
,39L,kg,Other,,
48.11,,,"Paper, paperboard, cellulose wadding and webs of cellulose fibres,",,
,,,"coated, impregnated, covered, surfacecoloured, surfacedecorated or",,
,,,"printed, in rolls or rectangular (including square) sheets, of any size,",,
,,,"other than goods of the kind described in heading 48.03, 48.09 or 48.10:",,
4811.10.00,10L,kg," Tarred, bituminised or asphalted paper and paperboard",Free,Free
,,, Gummed or adhesive paper and paperboard:,,
4811.41,,,  Self-adhesive:,,
4811.41.11,,,Printing and writing paper and paperboard,Free,Free
,10H,. .,In strips or rolls,,
,19A,kg,Other,,
4811.41.19,,,Other,Free,Free
,10J,. .,In strips or rolls,,
,19B,kg,Other,,
4811.49,,,  Other:,,
4811.49.11,,,Printing and writing paper and paperboard,Free,Free
,10D,. .,In strips or rolls,,
,19H,kg,Other,,
,,,Other:,,
4811.49.21,,, Printed,Free,Free
,10K,. .,In strips or rolls,,
,19C,kg,Other,,
4811.49.29,,, Other,Free,Free
,10L,. .,In strips or rolls,,
,19D,kg,Other,,
,,," Paper and paperboard coated, impregnated or covered with plastics",,
,,,(excluding adhesives):,,
4811.51.00,,,"  Bleached, weighing more than 150 g/m2",Free,Free
,,,Printed:,,
,01L,kg,Printing and writing paper and paperboard,,
,09F,kg,Wrapping paper and paperboard,,
,,,Cartonboard or boxboard:,,
,11H,kg,Liquid packaging board,,
,19C,kg,Other,,
,29L,kg,Other,,
,,,Other:,,
,31B,kg,Printing and writing paper and paperboard,,
,39H,kg,Wrapping paper and paperboard,,
,,,Cartonboard or boxboard:,,
,41K,kg,Liquid packaging board,,
,49E,kg,Other,,
,55K,kg,Other,,
4811.59.00,,,  Other,Free,Free
,,,Printed:,,
,01G,kg,Printing and writing paper and paperboard,,
,09B,kg,Wrapping paper and paperboard,,
,,,Cartonboard or boxboard:,,
,11D,kg,Liquid packaging board,,
,19K,kg,Other,,
,,,Other:,,
,21A,kg,Filter paper,,
,29G,kg,Other,,
,,,Other:,,
,31J,kg,Printing and writing paper and paperboard,,
,39D,kg,Wrapping paper and paperboard,,
,,,Cartonboard or boxboard:,,
,41F,kg,Liquid packaging board,,
,49A,kg,Other,,
,,,Other:,,
,51C,kg,Filter paper,,
,55F,kg,Other,,
,,,"Paper, paperboard, cellulose wadding and, etc.—continued",,
4811.60.00,,," Paper and paperboard, coated, impregnated or covered with wax,",,
,,,"paraffin wax, stearin, oil or glycerol",Free,Free
,,,Printed:,,
,01K,kg,Wrapping paper and paperboard,,
,09E,kg,Cartonboard or boxboard,,
,19B,kg,Other,,
,,,Other:,,
