Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif
,,,,,RCEP 3.5
,,,,,1/2025 3
,10K,.,Of Merbau (Kwila),,
,19C,.,Other,,
,,,Parts:,,
9401.91.00,,,Of wood,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,10J,No.,Arm-rests,,
,20F,No.,Seat frame,,
,30C,.,Other,,
9401.99,,,Other:,,
9401.99.01,,,For use in the assembly of motor vehicles as may be determined,,
,,,by the Minister in accordance with Section 14 of this Act,10,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 8
,,,,,1/2025 7.3
,10A,No.,Arm-rests,,
,20J,No.,Head restraints,,
,30F,No.,Seat frame and spring frame assemblies,,
,40C,.,Other,,
,,,Other:,,
9401.99.11,,,Automotive,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
,10G,No.,Arm-rest,,
,20D,No.,Head restraints,,
,30A,No.,Seat frame and spring frame assemblies,,
,40J,.,Other,,
9401.99.19,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,10H,No.,Arm-rest,,
,20E,No.,Head restraints,,
,30B,No.,Seat frame and spring frame assemblies,,
,40K,.,Other,,
94.02,,,"Medical, surgical, dental or veterinary furniture (for example,",,
,,,"operating tables, examination tables, hospital beds with mechanical",,
,,,"fittings, dentists’ chairs); barbers’ chairs and similar chairs, having",,
,,,rotating as well as both reclining and elevating movements; parts of,,
,,,the foregoing articles:,,
9402.10.00,00F,.,"Dentists’, barbers’ or similar chairs and parts thereof",Free,Free
9402.90.00,00E,.,Other,Free,Free
94.03,,,Other furniture and parts thereof:,,
9403.1,,,Metal furniture of a kind used in offices:,,
9403.10.02,00G,.,Drafting stands,Free,Free
9403.10.09,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,01K,No.,Desks,,
,,,Index and filing equipment (including cabinets):,,
,11G,.,Fire resistant,,
,19B,.,Other,,
,21D,.,Shelves and shelving,,
,29K,.,Other,,
9403.2,,,Other metal furniture:,,
9403.20.10,00C,.,Music stands,Free,Free
9403.20.19,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,Domestic:,,
,10H,.,Outdoor furniture,,
,15J,.,Other,,
,,,Non-domestic:,,
,21C,No.,Display stands,,
,29J,.,Other,,
9403.30.00,,,Wooden furniture of a kind used in offices,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,Of Merbau (Kwila):,,
,10J,No.,Desks,,
,15K,.,Other,,
,,,Other:,,
,19B,No.,Desks,,
,29K,.,Other,,
9403.40.00,,,Wooden furniture of a kind used in the kitchen,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,Of Merbau (Kwila):,,
,10B,No.,Tables,,
,15C,.,Wall units and the like,,
,21H,.,Other,,
,,,Other:,,
,25L,No.,Tables,,
,29C,.,Wall units and the like,,
,39L,.,Other,,
9403.50.00,,,Wooden furniture of a kind used in the bedroom,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,10F,.,Of Merbau (Kwila),,
,19K,.,Other,,
,,,Other furniture and parts thereofcontinued,,
9403.60.00,,,Other wooden furniture,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,Of Merbau (Kwila):,,
,,,Domestic:,,
,10K,.,Outdoor furniture,,
,,,Other:,,
,15L,.,Chests and boxes,,
,,,Tables:,,
,19C,.,Coffee and similar tables and nests of tables,,
,23A,.,Other tables,,
,25H,.,Wall units and the like,,
,27D,.,Bathroom furniture,,
,29L,.,Other furniture,,
,33J,.,Non-domestic furniture,,
,,,Other:,,
,,,Domestic:,,
,35E,.,Outdoor furniture,,
,,,Other:,,
,37A,.,Chests and boxes,,
,,,Tables:,,
,43F,.,Coffee and similar tables and nests of tables,,
,45B,.,Other tables,,
,47J,.,Wall units and the like,,
,51G,.,Bathroom furniture,,
,53C,.,Other furniture,,
,79G,.,Non-domestic furniture,,
9403.70.00,,,Furniture of plastics,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,Domestic:,,
,01D,No.,Tables,,
,09K,.,Other,,
,19G,.,Non-domestic,,
,,,"Furniture of other materials, including cane, osier, bamboo or similar",,
,,,materials:,,
9403.82.00,,,Of bamboo,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
,,,Domestic:,,
,10F,No.,Tables,,
,15G,.,Other,,
,19K,.,Non-domestic,,
9403.83.00,,,Of rattan,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
,,,Domestic:,,
,10L,No.,Tables,,
,15A,.,Other,,
,19D,.,Non-domestic,,
9403.89.00,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,Domestic:,,
,,,Wicker or cane:,,
,10H,No.,Tables,,
,13B,.,Other,,
,15J,.,Other,,
,19A,.,Non-domestic,,
,,,Other furniture and parts thereofcontinued,,
,,,Parts:,,
9403.91.00,,,Of wood,5,Free
,,,,,*See Below
,,,,,CA Free
,,,"Legs, not being fabricated frames:",,
,10E,.,Of Merbau (Kwila),,
,20B,.,Other,,
,,,Other:,,
,30K,.,Of Merbau (Kwila),,
,40G,.,Other,,
9403.99.00,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,10A,.,"Legs, of metal, not being fabricated frames",,
,,,Other:,,
,20J,.,Of metal,,
,30F,.,Of plastics,,
,40C,.,"Of cane, osier, bamboo or similar materials",,
,50L,.,Other,,
94.04,,,Mattress supports; articles of bedding and similar furnishing (for,,
,,,"example, mattresses, quilts, eiderdowns, cushions, pouffes and pillows)",,
,,,fitted with springs or stuffed or internally fitted with any material or,,
,,,"of cellular rubber or plastics, whether or not covered:",,
9404.10.00,,,Mattress supports,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,01L,No.,"Of woven wire, link mesh or wire spring, not upholstered",,
,09F,No.,Other,,
,,,Mattresses:,,
9404.21.00,00L,No.,"Of cellular rubber or plastics, whether or not covered",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9404.29.00,00G,No.,Of other materials,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9404.30.00,,,Sleeping bags,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,01H,No.,Stuffed with feathers or down,,
,09C,No.,Other,,
9404.40.00,,,"Quilts, bedspreads, eiderdowns and duvets (comforters)",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
,,,,,RCEP 5
,,,,,1/2025 5
,,,Quilts:,,
,10L,No.,Stuffed with feathers or down,,
,12G,No.,Other,,
,,,Bedspreads:,,
,20H,No.,Stuffed with feathers or down,,
,22D,No.,Other,,
,,,Eiderdowns:,,
,30E,No.,Stuffed with feathers or down,,
,32A,No.,Other,,
,40B,No.,Other,,
9404.90.00,40L,No.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,CPT Free
,,,,,RCEP 5
,,,,,1/2025 5
94.05,,,Luminaires and lighting fittings including searchlights and spotlights,,
,,,"and parts thereof, not elsewhere specified or included; illuminated",,
,,,"signs, illuminated name-plates and the like, having a permanently fixed",,
,,,"light source, and parts thereof not elsewhere specified or included:",,
,,,"Chandeliers and other electric ceiling or wall lighting fittings, excluding",,
,,,those of a kind used for lighting public open spaces or thoroughfares:,,
9405.11,,,Designed for use solely with light-emitting diode (LED) light sources:,,
9405.11.01,00A,.,Of plastic,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.11.05,00G,.,Of ceramics,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 5
,,,,,1/2025 5
9405.11.10,,,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,10H,.,Of glass,,
,20E,.,Of base metal,,
,30B,.,Other,,
9405.19,,,Other:,,
9405.19.01,00H,.,Of plastic,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.19.05,00C,.,Of ceramics,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 5
,,,,,1/2025 5
9405.19.10,,,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,10D,.,Of glass,,
,20A,.,Of base metal,,
,30J,.,Other,,
,,,"Electric table, desk, bedside or floor-standing luminaires:",,
9405.21,,,Designed for use solely with light-emitting diode (LED) light sources:,,
9405.21.01,00E,.,Of plastic,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.21.05,00L,.,Of ceramics,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.21.10,,,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
,10A,.,"Luminaires, shadowless, specially designed for in hospital theatres",,
,,,and dentists’ surgeries,,
,,,Other:,,
,20J,.,Of glass,,
,30F,.,Of base metal,,
,40C,.,Other,,
9405.29,,,Other:,,
9405.29.01,00A,.,Of plastic,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,"Luminaires and lighting fittings including, etc.continued",,
,,,"Electric table, desk, bedside or floor-standing luminairescontinued",,
,,,Othercontinued,,
9405.29.05,00G,.,Of ceramics,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.29.10,,,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
,10H,.,".Luminaries, shadowless, specially designed for in hospital theatres",,
,,,and dentists’ surgeries,,
,,,Other:,,
,20E,.,Of glass,,
,30B,.,Of base metal,,
,40K,.,Other,,
,,,Lighting strings of a kind used for Christmas trees:,,
9405.31.00,00B,.,Designed for use solely with light-emitting diode (LED) light sources,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.39.00,00J,.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,Other electric luminaires and lighting fittings:,,
9405.41,,,"Photovoltaic, designed for use solely with light-emitting diode (LED)",,
,,,sources:,,
,,,Of base metal:,,
9405.41.01,00B,.,Designed for use in harbours and airports beacons and lighthouses;,,
,,,ship and aircraft navigation luminaires,Free,Free
9405.41.05,00H,.,Spotlights,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.41.10,,.,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,10J,.,"Luminaires, shadowless, specially designed for use in hospital",,
,,,theatres and dentists’ surgeries,,
,20F,.,Flameproof luminaries and lighting fittings,,
,30C,.,Other,,
,,,Of other materials:,,
9405.41.20,00G,.,Spotlights,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,Other:,,
9405.41.30,00B,.,Of plastic,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.41.40,00H,.,Of ceramics,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,"Luminaires and lighting fittings including, etc.continued",,
,,,Other electric luminaires and lighting fittingscontinued,,
,,,"Photovoltaic, designed for use solely with, etc.continued",,
,,,Of other materialscontinued,,
,,,Othercontinued,,
9405.41.50,,,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
,10L,.,Of glass,,
,20H,.,Other,,
9405.42,,,"Other, designed for use solely with light-emitting diode (LED) light",,
,,,sources:,,
,,,Of base metal:,,
9405.42.01,00G,.,Designed for use in harbour and airport beacons and lighthouses;,,
,,,ship and aircraft navigation luminaires; miners’ safety luminaires,Free,Free
9405.42.05,00B,.,Spotlights,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.42.10,,,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,10C,.,"Luminaires, shadowless, specially designed for use in hospital",,
,,,theatres and dentists’ surgeries,,
,20L,.,Flameproof luminaires and lighting fittings,,
,30H,.,Other,,
,,,Of other materials:,,
9405.42.20,00A,.,Spotlights,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,Other:,,
9405.42.30,00G,.,Of plastic,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.42.40,00B,.,Of ceramics,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.42.50,,,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
,10E,.,Of glass,,
,20B,.,Other,,
9405.49,,,Other:,,
,,,Of base metal:,,
9405.49.01,00J,.,Designed for use in harbour and airport beacons and lighthouses;,,
,,,ship and aircraft navigation luminaires; miners’ safety luminaires,Free,Free
9405.49.05,00D,.,Spotlights,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.49.10,,,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,10E,.,".Luminaires, shadowless, specially designed for use in hospital",,
,,,theatres and dentists’ surgeries,,
,20B,.,Flameproof luminaires and lighting fittings,,
,30K,.,Other,,
,,,"Luminaires and lighting fittings including, etc.continued",,
,,,Other electric luminaires and lighting fittingscontinued,,
,,,Othercontinued,,
,,,Of other materials:,,
9405.49.20,00C,.,Spotlights,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,Other:,,
9405.49.30,00J,.,Of plastic,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.49.40,00D,.,Of ceramics,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.49.50,,,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
,10G,.,Of glass,,
,20D,.,Other,,
9405.5,,,Non-electrical luminaires and light fittings:,,
,,,Of base metal:,,
9405.50.01,10J,.,Miners’ safety luminaires,Free,Free
9405.50.09,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,LDC Free
,11H,.,Liquid fuel lanterns and LPG lanterns,,
,19C,.,Other,,
9405.50.11,10D,.,Of glass,Free,Free
9405.50.21,10K,.,Of plastics,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.50.31,10E,.,Of ceramincs,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.50.39,10F,.,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 5
,,,,,1/2025 5
,,,"Illuminated signs, illuminated name-plates and the like:",,
9405.61,,,Designed for use solely with light-emitting diode (LED) light sources:,,
9405.61.01,00K,kg,Of glass,Free,Free
9405.61.03,00B,.,Of plastics,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.61.05,00E,.,Of ceramics,5,Free
,,,,,*See Below
,,,,,CA 1
9405.61.10,,,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
,10F,.,Of base metal,,
,20C,.,Other,,
,,,"Luminaires and lighting fittings including, etc.continued",,
,,,"Illuminated signs, illuminated name-plates and the likecontinued",,
9405.69,,,Other:,,
9405.69.01,00F,kg,Of glass,Free,Free
9405.69.03,00J,.,Of plastics,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.69.05,00A,.,Of ceramics,5,Free
,,,,,*See Below
,,,,,CA 1
9405.69.10,,,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
,10B,.,Of base metal,,
,20K,.,Other,,
,,,Parts:,,
9405.91.00,00D,.,Of glass,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.92.00,00J,.,Of plastics,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9405.99,,,Other:,,
9405.99.01,00G,.,Of ceramics,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 5
,,,,,1/2025 5
9405.99.09,00H,.,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
94.06,,,Prefabricated buildings:,,
9406.10.00,00J,.,Of wood,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
9406.20.00,,,"Modular building units, of steel",5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,10K,No.,Presented in the size and shape of a 10FT shipping container,,
,12F,No.,Presented in the size and shape of a 20FT shipping container,,
,14B,No.,Presented in the size and shape of a 40FT shipping container,,
,16J,No.,Other,,
9406.90.00,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,Of iron or steel:,,
,20B,No.,Floor area not exceeding 15 m2,,
,22J,No.,Floor area exceeding 15 m2 but not exceeding 115 m2,,
,24E,No.,Floor area exceeding 115 m2 but not exceeding 250 m2,,
,26A,No.,Floor area exceeding 250 m2,,
,40G,No.,Of aluminium,,
,50D,.,Of other materials,,
95.03,,,,,
9503,,,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls’",,
,,,carriages; dolls; other toys; reduced-size (“scale”) models and similar,,
,,,"recreational models, working or not; puzzles of all kinds:",,
9503.00.01,00C,.,Books and sheets of pictures for cutting out,Free,Free
9503.00.03,00F,.,Portable interactive electronic education devices primarily designed,,
,,,for children,Free,Free
,,,,,*See Below
,,,,,RCEP 4
,,,,,1/2025 3.7
9503.00.05,00J,.,Rubber balloons,Free,Free
9503.00.09,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
,,,"Wheeled toys designed to be ridden by children (for example, tricycles,",,
,,,"scooters, pedal cars); dolls’ carriages:",,
,10A,No.,Wheeled toys,,
,13F,No.,Dolls’ carriages,,
,15B,.,Parts,,
,,,Dolls representing only human beings:,,
,17J,No.,"Dolls, whether or not dressed",,
,,,Parts and accessories:,,
,19E,.,"Garments and accessories therefor, footwear and headgear",,
,21G,.,Other,,
,,,Other toys; reduced-size (“scale”) models and similar recreational,,
,,,"models, working or not; puzzles of all kinds:",,
,23C,.,"Electric trains, including tracks, signals and other accessories therefor",,
,25K,.,"Reduced-size (“scale”) model assembly kits, whether or not working",,
,,,"models, excluding those of Tariff item 9503.00.09 23C",,
,27F,.,Other construction sets and constructional toys,,
,,,Toys representing animals or non-human creatures:,,
,29B,.,Stuffed,,
,31D,.,Other,,
,33L,.,Toy musical instruments and apparatus,,
,,,Puzzles:,,
,35G,.,Jig-saw puzzles,,
,37C,.,Other,,
,,,"Other toys, put up in sets or outfits:",,
,39K,.,"Toy embroidery sets; toy printing sets, consisting predominately of",,
,,,letters and/or figures; toy toolsets,,
,41A,.,"Modelling clay (together with moulds of plastics, tools, etc.)",,
,43H,.,Other,,
,,,"Other toys and models, incorporating a motor:",,
,45D,.,Toys and models,,
,,,Parts:,,
,47L,.,Internal combustion engines,,
,49G,.,Other,,
,,,Other:,,
,51J,.,Skipping ropes; balls; hoops,,
,53E,.,Toy binoculars; toy clocks without motors; toy cameras; toy,,
,,,microscopes; toy telescopes,,
,55A,.,"Model railways and accessories, other than those of Tariff item",,
,,,9503.00.09 23C,,
,,,Other toys:,,
,57H,.,Of plastics,,
,59D,.,Of wood,,
,79J,.,Other,,
95.04,,,"Video game consoles and machines, table or parlour games, including",,
,,,"pintables, billiards, special tables for casino games and automatic",,
,,,"bowling equipment, amusement machines operated by coins, banknotes,",,
,,,"bank cards, tokens or by any other means of payment:",,
9504.2,,,Articles and accessories for billiards of all kinds:,,
9504.20.01,00J,No.,Billiard chalks,Free,Free
9504.20.09,,,Other,5,Free
,,,,,*See Below
,,,,,CA Fre
,,,,,RCEP 3.5
,,,,,1/2025 3
,01H,No.,Tables,,
,09C,.,Cues,,
,19L,.,Other,,
,,,"Video game consoles and machines, etc.continued",,
9504.30.90,,,"Other games, operated by coins, banknotes, bank cards, tokens or by",,
,,,"any other means of payment, other than automatic bowling alley",,
,,,equipment,Free,Free
,,,Gaming machines (as defined in Section 4 of the Gambling Act,,
,,,"2003), electronic, and parts thereof:",,
,10B,No.,Gaming machines,,
,15C,.,Parts of gaming machines,,
,19F,.,Other,,
9504.4,,,Playing cards:,,
9504.40.01,00F,pk,Playing cards comprising any of the cards of a conventional suit,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 4
,,,,,1/2025 3.7
9504.40.09,00G,.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
9504.5,,,"Video game consoles and machines, other than those of subheading",,
,,,9504.30:,,
9504.50.10,00J,.,Video games of a kind used with television receivers,Free,Free
,,,,,*See Below
,,,,,RCEP 3.5
,,,,,1/2025 3
9504.50.90,19C,.,Other,Free,Free
,,,,,*See Below
,,,,,RCEP 3.5
,,,,,1/2025 3
9504.90.00,,,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,01F,.,"Pool balls, snooker balls",,
,09A,.,"Bowls, including jacks, of a kind used for indoor or carpet bowls",,
,11C,.,Tenpin bowling balls and pins,,
,16D,No.,Dartboards,,
,18L,No.,Darts,,
,,,Dart flights:,,
,21L,.,Feather types,,
,29F,.,Other,,
,31H,.,Indoor croquet and skittle requisites,,
,39C,.,Board games,,
,59H,.,Other,,
95.05,,,"Festive, carnival or other entertainment articles, including conjuring",,
,,,tricks and novelty jokes:,,
9505.10.00,,,Articles for Christmas festivities,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,,,In aerosol containers:,,
,02C,No.,Containing chlorofluorocarbons,,
,08B,No.,Other,,
,,,Other:,,
,10D,No.,Christmas crackers,,
,29E,.,Other,,
9505.90.00,00F,.,Other,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 3.5
,,,,,1/2025 3
95.06,,,"Articles and equipment for general physical exercise, gymnastics,",,
,,,"athletics, other sports (including table-tennis) or outdoor games, not",,
,,,specified or included elsewhere in this Chapter; swimming pools and,,
,,,paddling pools:,,
,,,Snow-skis and other snow-ski equipment:,,
9506.11.00,10G,pr,Skis,Free,Free
9506.12.00,10A,pr,Ski-fastenings (ski-bindings),Free,Free
,,,"Articles and equipment for general physical exercise, etc.continued",,
,,,Snow-skis and other snow-ski equipmentcontinued,,
9506.19.00,,,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
,02B,pr,Ski poles,,
,11A,No.,Slalom snow-ski markers,,
,19G,.,Other,,
,,,"Water-skis, surf-boards, sailboards and other water-sport equipment:",,
9506.21.00,00C,.,Sailboards,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
9506.29.00,,,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,CPT Free
,,,,,RCEP 3.5
,,,,,1/2025 3
,01H,No.,Divers’ masks,,
,09C,pr,Divers’ fins and flippers,,
,19L,.,Other,,
,,,Golf clubs and other golf equipment:,,
9506.31.00,,,"Clubs, complete",Free,Free
,03A,No.,Woods,,
,05H,No.,Irons,,
,09L,No.,Putters,,
9506.32.00,00A,No.,Balls,Free,Free
9506.39.00,00C,.,Other,5,Free
,,,,,*See Below
,,,,,CA 1
,,,,,RCEP 3.5
,,,,,1/2025 3
9506.40.00,,,Articles and equipment for table-tennis,5,Free
,,,,,*See Below
,,,,,CA Free
,,,,,RCEP 5
,,,,,1/2025 5
,02B,No.,Nets,,
,05G,No.,Balls,,
