Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif,
,,,,,,1/2025 3
,1602.49.09,00D,kg,Other,Free,Free
,1602.49.19,00K,kg,Otherwise packed,Free,Free
,1602.5,,,Of bovine animals:,,
,,,,Preserved in airtight cans or jars:,,
,1602.50.01,00F,kg,In combination with vegetables or other food substances;,,
,,,,meat pastes,5,Free
,,,,,,*See Below
,,,,,,CA Free
,,,,,,RCEP 4
,,,,,,1/2025 3.7
,1602.50.09,,,Other,Free,Free
,,01E,kg,Corned beef,,
,,09L,kg,Tongues,,
,,19H,kg,Other,,
,1602.50.19,00B,kg,Otherwise packed,Free,Free
,1602.9,,,"Other, including preparations of blood of any animal:",,
,1602.90.01,00L,kg,Preparations of blood,5,Free
,,,,,,*See Below
,,,,,,CA Free
,,,,Other:,,
,,,,Preserved in airtight cans or jars:,,
,1602.90.11,10C,kg,"Other, in combination with vegetables or other food substances;",,
,,,,meat pastes,5,Free
,,,,,,*See Below
,,,,,,CA Free
,,,,,,RCEP 3.5
,,,,,,1/2025 3
,1602.90.19,,,Other,Free,Free
,,01E,kg,"Tongues, sheep and lamb",,
,,09L,kg,Mutton,,
,,20A,kg,Insects,,
,,30J,kg,Other,,
,1602.90.29,10K,kg,Otherwise packed,Free,Free
16.03,,,,,,
1603,,,"Extracts and juices of meat, fish or crustaceans, molluscs or other",,,
,,,aquatic invertebrates:,,,
1603.00.01,,,"Of meat, fish, crustaceans or molluscs",Free,Free,
,,,Of meat:,,,
,01D,kg,Extracts,,,
,09K,kg,Other,,,
,11A,kg,Of fish,,,
,,,Of crustaceans or molluscs:,,,
,21J,kg,Mussel oil,,,
,29D,kg,Other,,,
1603.00.09,00G,kg,Of other aquatic invertebrates,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
16.04,,,Prepared or preserved fish; caviar and caviar substitutes prepared,,,
,,,from fish eggs:,,,
,,,"Fish, whole or in pieces, but not minced:",,,
1604.11.00,,,Salmon,Free,Free,
,01D,kg,"In airtight cans or jars, whether or not with added liquor, oil or sauce",,,
,09K,kg,Otherwise packed,,,
1604.12.00,,,Herrings,Free,Free,
,01J,kg,"In airtight cans or jars, whether or not with added liquor, oil or sauce",,,
,09D,kg,Otherwise packed,,,
1604.13,,,"Sardines, sardinella and brisling or sprats:",,,
,,,"In airtight cans or jars, whether or not with added liquor, oil or sauce:",,,
1604.13.01,00A,kg,Sardines and brisling,Free,Free,
1604.13.09,00B,kg,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
1604.13.19,00H,kg,Otherwise packed,Free,Free,
1604.14,,,"Tunas, skipjack tuna and bonito (Sarda spp.):",,,
1604.14.01,00F,kg,"In airtight cans or jars, whether or not with added liquor, oil or sauce",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
1604.14.09,00G,kg,Otherwise packed,Free,Free,
1604.15,,,Mackerel:,,,
1604.15.01,00L,kg,"In airtight cans or jars, whether or not with added liquor, oil or sauce",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
1604.15.09,00A,kg,Otherwise packed,Free,Free,
1604.16,,,ÄìAnchovies:,,,
1604.16.01,00E,kg,"In airtight cans or jars, whether or not with added liquor, oil or sauce",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
1604.16.09,00F,kg,Otherwise packed,Free,Free,
1604.17,,,Eels:,,,
1604.17.10,00J,kg,"In airtight cans or jars, whether or not with added liquor, oil or sauce",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
1604.17.90,00B,kg,Otherwise packed,Free,Free,
1604.18,,,Shark fins:,,,
,,,"Prepared or preserved fish; caviar and caviar, etc.continued",,,
,,,"Fish, whole or in pieces, but not mincedcontinued",,,
,,,Shark finscontinued,,,
1604.18.10,10L,kg,"In airtight cans or jars, whether or not with added liquor, oil or sauce",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
1604.18.90,10D,kg,Otherwise packed,Free,Free,
1604.19,,,Other:,,,
,,,"In airtight cans or jars, whether or not with added liquor, oil or sauce:",,,
1604.19.01,,,"Pilchards, sild, saury",Free,Free,
,01G,kg,Pilchards,,,
,09B,kg,"Sild, saury",,,
1604.19.09,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,01H,kg,Kahawai,,,
,09C,kg,Barracouta,,,
,39E,kg,Other,,,
1604.19.19,11L,kg,Otherwise packed,Free,Free,
1604.2,,,Other prepared or preserved fish:,,,
,,,"Fish preparations such as pastes, sausages, Äúprepared mealsÄù",,,
,,,and the like:,,,
1604.20.01,00A,kg,Pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
1604.20.09,,,Other,Free,Free,
,01L,kg,Pat,,,
,09F,kg,Fish fingers,,,
,11H,kg,"Dinners, prepared, containing fish",,,
,19C,kg,Fish cakes,,,
,29L,kg,Other,,,
,,,Other:,,,
,,,"In airtight cans or jars, whether or not with added liquor, oil or sauce:",,,
1604.20.11,,,"Herrings, pilchards, sardines, sild, brisling, saury",Free,Free,
,01E,kg,"Herrings, pilchards",,,
,09L,kg,"Sardines, sild, brisling, saury",,,
1604.20.19,00H,kg,Salmon,Free,Free,
1604.20.29,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,01A,kg,Kahawai,,,
,09G,kg,Barracouta,,,
,11J,kg,Tuna,,,
,19D,kg,Other,,,
1604.20.39,00J,kg,Otherwise packed,Free,Free,
,,,Caviar and caviar substitutes:,,,
1604.31.00,00C,kg,Caviar,5,Free,
,,,,,*See Below,
,,,,,CA 4.5,
1604.32.00,00H,kg,Caviar substitutes,5,Free,
,,,,,*See Below,
,,,,,CA 4.5,
16.05,,,"Crustaceans, molluscs and other aquatic invertebrates, prepared or",,,
,,,preserved:,,,
1605.1,,,Crab:,,,
,,,"Preparations such as pastes, sausages, Äúprepared mealsÄù and the like:",,,
1605.10.01,00F,kg,Pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,"Crustaceans, molluscs and other aquatic invertebrates, etc.continued",,,
,,,Crabcontinued,,,
,,,"Preparations such as pastes, sausages, Äúprepared, etc.continued",,,
1605.10.09,,,Other,Free,Free,
,01E,kg,Pat,,,
,09L,kg,Other,,,
1605.10.19,,,Other,Free,Free,
,01L,kg,In airtight cans or jars,,,
,19C,kg,Otherwise packed,,,
,,,Shrimps and prawns:,,,
1605.21,,,Not in airtight container:,,,
,,,"Preparations such as pastes, sausages, Äúprepared mealsÄù and the like:",,,
1605.21.10,00C,kg,Pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
1605.21.20,,,Other,Free,Free,
,10F,kg,Pat,,,
,19K,kg,Other,,,
1605.21.90,00G,kg,Other,Free,Free,
1605.29,,,Other:,,,
,,,"Preparations such as pastes, sausages, Äúprepared mealsÄù and the like:",,,
1605.29.10,00K,kg,Pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
1605.29.20,,,Other,Free,Free,
,10B,kg,Pat,,,
,19F,kg,Other,,,
1605.29.90,00C,kg,Other,Free,Free,
1605.3,,,Lobster:,,,
,,,"Preparations such as pastes, sausages, Äúprepared mealsÄù and the like:",,,
1605.30.01,00C,kg,Pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
1605.30.09,,,Other,Free,Free,
,01B,kg,Pat,,,
,09H,kg,Other,,,
1605.30.19,,,Other,Free,Free,
,,,In airtight cans or jars:,,,
,01H,kg,Rock lobster (crayfish),,,
,09C,kg,Other,,,
,,,Otherwise packed:,,,
,11E,kg,Rock lobster (crayfish),,,
,29H,kg,Other,,,
1605.4,,,Other crustaceans:,,,
,,,"Preparations such as pastes, sausages, Äúprepared mealsÄù and the like:",,,
1605.40.01,00G,kg,Pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
1605.40.09,,,Other,Free,Free,
,01F,kg,Pat,,,
,09A,kg,Other,,,
1605.40.19,,,Other,Free,Free,
,01A,kg,In airtight cans or jars,,,
,19D,kg,Otherwise packed,,,
,,,"Crustaceans, molluscs and other aquatic invertebrates, etc.continued",,,
,,,Molluscs:,,,
1605.51,,,Oysters:,,,
,,,"Preparations such as pastes, sausages, Äúprepared mealsÄù and the like:",,,
1605.51.10,00D,kg,Pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
1605.51.20,,,Other,Free,Free,
,10G,kg,Pat,,,
,19L,kg,Other,,,
1605.51.90,,,Other,Free,Free,
,10E,kg,In airtight cans or jars,,,
,19J,kg,Otherwise packed,,,
1605.52,,,"Scallops, including queen scallops:",,,
,,,"Preparations such as pastes, sausages, Äúprepared mealsÄù and the like:",,,
1605.52.10,00J,kg,Pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
1605.52.20,,,Other,Free,Free,
,10A,kg,Pat,,,
,19E,kg,Other,,,
1605.52.90,,,Other,Free,Free,
,10K,kg,In airtight cans or jars,,,
,19C,kg,Otherwise packed,,,
1605.53,,,Mussels:,,,
,,,"Preparations such as pastes, sausages, Äúprepared mealsÄù and the like:",,,
1605.53.10,00C,kg,Pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
1605.53.20,,,Other,Free,Free,
,10F,kg,Pat,,,
,19K,kg,Other,,,
1605.53.90,,,Other,Free,Free,
,10D,kg,In airtight cans or jars,,,
,,,Otherwise packed:,,,
,15E,kg,Crumbed or battered,,,
,19H,kg,Powder freeze-dried in capsule form,,,
,29E,kg,Other,,,
1605.54,,,Cuttle fish and squid:,,,
,,,"Preparations such as pastes, sausages, Äúprepared mealsÄù and the like:",,,
1605.54.10,10E,kg,Pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
1605.54.20,,,Other,Free,Free,
,11J,kg,Pat,,,
,29A,kg,Other,,,
1605.54.90,,,Other,Free,Free,
,11G,kg,In airtight cans or jars,,,
,29K,kg,Otherwise packed,,,
1605.55,,,Octopus:,,,
,,,"Preparations such as pastes, sausages, Äúprepared mealsÄù and the like:",,,
1605.55.10,00B,kg,Pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
1605.55.20,,,Other,Free,Free,
,10E,kg,Pat,,,
,19J,kg,Other,,,
1605.55.90,,,Other,Free,Free,
,10C,kg,In airtight cans or jars,,,
,19G,kg,Otherwise packed,,,
,,,"Crustaceans, molluscs and other aquatic invertebrates, etc.continued",,,
,,,Molluscscontinued,,,
1605.56,,,"Clams, cockles and arkshells:",,,
,,,"Preparations such as pastes, sausages, Äúprepared mealsÄù and the like:",,,
1605.56.10,00G,kg,Pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
1605.56.20,,,Other,Free,Free,
,10K,kg,Pat,,,
,19C,kg,Other,,,
1605.56.90,,,Other,Free,Free,
,10H,kg,In airtight cans or jars,,,
,19A,kg,Otherwise packed,,,
1605.57,,,ÄìAbalone:,,,
,,,"Preparations such as pastes, sausages, Äúprepared mealsÄù and the like:",,,
1605.57.10,00A,kg,Pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
1605.57.20,,,Other,Free,Free,
,10D,kg,Pat,,,
,19H,kg,Other,,,
1605.57.90,,,Other,Free,Free,
,,,In airtight cans or jars:,,,
,10B,kg,Paua,,,
,15C,kg,Other,,,
,,,Otherwise packed:,,,
,19F,kg,Paua,,,
,29C,kg,Other,,,
1605.58,,,"Snails, other than sea snails:",,,
,,,"Preparations such as pastes, sausages, Äúprepared mealsÄù and the like:",,,
1605.58.10,00F,kg,Pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
1605.58.20,,,Other,Free,Free,
,10J,kg,Pat,,,
,19B,kg,Other,,,
1605.58.90,,,Other,Free,Free,
,10G,kg,In airtight cans or jars,,,
,19L,kg,Otherwise packed,,,
1605.59,,,Other:,,,
,,,"Preparations such as pastes, sausages, Äúprepared mealsÄù and the like:",,,
1605.59.10,10H,kg,Pastes,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
1605.59.20,,,Other,Free,Free,
,11A,kg,Pat,,,
,29D,kg,Other,,,
1605.59.90,,,Other,Free,Free,
,11K,kg,In airtight cans or jars,,,
,29B,kg,Otherwise packed,,,
,,,Other aquatic invertebrates:,,,
1605.61,,,Sea cucumbers:,,,
,,,Preserved in airtight cans or jars:,,,
1605.61.10,00H,kg,In combination with vegetables or other food substances,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,"Crustaceans, molluscs and other aquatic invertebrates, etc.continued",,,
,,,Other aquatic invertebratescontinued,,,
,,,Sea cucumberscontinued,,,
,,,Preserved in airtight cans or jarscontinued,,,
1605.61.20,00C,kg,Other,Free,Free,
1605.61.90,00A,kg,Otherwise packed,Free,Free,
1605.62,,,Sea Urchins:,,,
,,,Preserved in airtight cans or jars:,,,
1605.62.10,00B,kg,In combination with vegetables or other food substances,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
1605.62.20,00H,kg,Other,Free,Free,
1605.62.90,00F,kg,Otherwise packed,Free,Free,
1605.63,,,Jellyfish:,,,
,,,Preserved in airtight cans or jars:,,,
1605.63.10,00G,kg,In combination with vegetables or other food substances,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
1605.63.20,00B,kg,Other,Free,Free,
1605.63.90,00L,kg,Otherwise packed,Free,Free,
1605.69,,,Other:,,,
,,,Preserved in airtight cans or jars:,,,
1605.69.10,00D,kg,In combination with vegetables or other food substances,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
1605.69.20,00K,kg,Other,Free,Free,
1605.69.90,00H,kg,Otherwise packed,Free,Free,
17.01,,,"Cane or beet sugar and chemically pure sucrose, in solid form:",,,
,,,Raw sugar not containing added flavouring or colouring matter:,,,
1701.12.00,,,Beet sugar,Free,Free,
,10K,kg,Of a polarisation of less than 99∞,,,
,19C,kg,Other,,,
1701.13.00,00G,kg,Cane sugar specified in Subheading Note 2 to this Chapter,Free,Free,
1701.14.00,,,Other cane sugar,Free,Free,
,10J,kg,Of a polarisation of less than 99∞,,,
,19B,kg,Other,,,
,,,Other:,,,
1701.91.00,,,Containing added flavouring or colouring matter,Free,Free,
,,,Brown sugar:,,,
,01E,kg,In packs not exceeding 5 kg,,,
,09L,kg,Other,,,
,19H,kg,Other,,,
1701.99.00,,,Other,Free,Free,
,,,White sugar:,,,
,,,Icing sugar:,,,
,01A,kg,In packs not exceeding 5 kg,,,
,09G,kg,Other,,,
,,,Other:,,,
,11J,kg,In packs not exceeding 5 kg,,,
,21F,kg,In packs exceeding 5 kg but not exceeding 15 kg,,,
,29A,kg,Other,,,
,,,Brown sugar:,,,
,32A,kg,In packs not exceeding 5 kg,,,
,38L,kg,Other,,,
,,,Other:,,,
,41L,kg,In packs not exceeding 5 kg,,,
,49F,kg,Other,,,
17.02,,,"Other sugars, including chemically pure lactose, maltose, glucose and",,,
,,,"fructose, in solid form; sugar syrups not containing added flavouring",,,
,,,"or colouring matter; artificial honey, whether or not mixed with",,,
,,,natural honey; caramel:,,,
,,,Lactose and lactose syrup:,,,
1702.11.00,00F,kg," Containing by weight 99 % or more lactose, expressed as anhydrous",,,
,,,"lactose, calculated on the dry matter",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
1702.19.00,00B,kg,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
1702.20.00,00E,kg,Maple sugar and maple syrup,Free,Free,
1702.30.00,,,"Glucose and glucose syrup, not containing fructose or containing in the",,,
,,,dry state less than 20 % by weight of fructose,Free,Free,
,01G,kg,Chemically pure glucose,,,
,09B,kg,Other,,,
1702.40.00,,," Glucose and glucose syrup, containing in the dry state at least 20 % but",,,
,,,"less than 50 % by weight of fructose, excluding invert sugar",Free,Free,
,01L,kg,Chemically pure glucose,,,
,09F,kg,Other,,,
1702.50.00,00F,kg,Chemically pure fructose,Free,Free,
1702.60.00,00K,kg,"Other fructose and fructose syrup, containing in the dry state more than",,,
,,,"50 % by weight of fructose, excluding invert sugar",Free,Free,
1702.9,,,"Other, including invert sugar and other sugar and sugar syrup blends",,,
,,,containing in the dry state 50 % by weight of fructose:,,,
1702.90.01,00G,kg,Infant food preparations,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 5,
,,,,,1/2025 5,
,,,"Other sugars, including chemically pure lactose, etc.continued",,,
,,,"Other, including invert sugar and other sugar and, etc.continued",,,
1702.90.09,00H,kg,ÄìArtificial honey,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
1702.90.11,00B,kg,Caramel,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
1702.90.18,,,Other,Free,Free,
,01E,.,Chemically pure maltose,,,
,09L,kg,Other,,,
17.03,,,Molasses resulting from the extraction or refining of sugar:,,,
1703.10.00,,,Cane molasses,Free,Free,
,01H,kg,Refined,,,
,,,Other:,,,
,11E,kg,Stock food,,,
,19L,kg,Other,,,
1703.90.00,,,Other,Free,Free,
,01G,kg,Stock food,,,
,09B,kg,Other,,,
17.04,,,"Sugar confectionery (including white chocolate), not containing cocoa:",,,
1704.10.00,00H,kg,"Chewing gum, whether or not sugar-coated",5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
1704.90.00,10D,kg,Other,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
18.01,,,,,,
1801.00.00,00F,kg,"Cocoa beans, whole or broken, raw or roasted",Free,Free,
18.02,,,,,,
1802.00.00,00D,.,"Cocoa shells, husks, skins and other cocoa waste",Free,Free,
18.03,,,"Cocoa paste, whether or not defatted:",,,
1803.10.00,00F,kg,Not defatted,Free,Free,
1803.20.00,00K,kg,Wholly or partly defatted,Free,Free,
18.04,,,,,,
1804.00.00,00L,kg,"Cocoa butter, fat and oil",Free,Free,
18.05,,,,,,
1805.00.00,00J,kg,"Cocoa powder, not containing added sugar or other sweetening matter",Free,Free,
18.06,,,Chocolate and other food preparations containing cocoa:,,,
1806.10.00,00L,kg,"Cocoa powder, containing added sugar or other sweetening matter",5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
1806.20.00,,,"Other preparations in blocks, slabs or bars weighing more than 2 kg or in",,,
,,,"liquid, paste, powder, granular or other bulk form in containers or",,,
,,,"immediate packings, of a content exceeding 2 kg",5,Free,
,,,,,*See Below,
,,,,,CA 2,
,10A,kg,Containing by weight 30 % or more of dairy product (milk powder),,,
,90K,kg,Other,,,
,,,"Other, in blocks, slabs or bars:",,,
1806.31.00,,,Filled,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,Exceeding 15 g:,,,
,01L,kg,Moulded,,,
,,,Chocolate coated (enrobed) bars:,,,
,11H,kg,Wrapped,,,
,19C,kg,Unwrapped,,,
,29L,kg,Other,,,
1806.32.00,,,Not filled,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,Exceeding 15 g:,,,
,01E,kg,Moulded,,,
,,,Chocolate coated (enrobed) bars:,,,
,11B,kg,Wrapped,,,
,19H,kg,Unwrapped,,,
,29E,kg,Other,,,
1806.90.00,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,01H,kg,Exceeding 15 g,,,
,,,Other:,,,
,,,"Chocolate pieces (creams, liqueurs, assortments and the like):",,,
,11E,kg,In retail packs,,,
,19L,kg,Other,,,
,29H,kg,Other,,,
19.01,,,"Malt extract; food preparations of flour, groats, meal, starch or malt",,,
,,,"extract, not containing cocoa or containing less than 40 % by weight",,,
,,,"of cocoa calculated on a totally defatted basis, not elsewhere specified",,,
,,,"or included; food preparations of goods of headings 04.01 to 04.04, not",,,
,,,containing cocoa or containing less than 5 % by weight of cocoa,,,
,,,"calculated on a totally defatted basis, not elsewhere specified or",,,
,,,included:,,,
1901.1,,,"Preparations suitable for infants or young children, put up for retail sale:",,,
1901.10.01,00B,kg,Containing cocoa,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
1901.10.09,00C,kg,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
1901.2,,,Mixes and doughs for the preparation of bakersÄô wares of heading 19.05:,,,
1901.20.01,00F,kg,Containing cocoa,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
1901.20.09,00G,kg,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
1901.9,,,Other:,,,
1901.90.01,10J,kg,Containing cocoa,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 5,
,,,,,1/2025 5,
1901.90.09,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,Malt extract:,,,
,,,For use in home brewing:,,,
,03G,kg,In retail packs,,,
,05C,kg,In other packs,,,
,12F,kg,For use in commercial brewing,,,
,18E,kg,Other,,,
,30D,kg,Other,,,
19.02,,,"Pasta, whether or not cooked or stuffed (with meat or other",,,
,,,"substances) or otherwise prepared, such as spaghetti, macaroni,",,,
,,,"noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not",,,
,,,prepared:,,,
,,,"Uncooked pasta, not stuffed or otherwise prepared:",,,
1902.11.00,00J,kg,Containing eggs,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
1902.19.00,00E,kg,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
1902.20.00,00H,kg,"Stuffed pasta, whether or not cooked or otherwise prepared",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
1902.3,,,Other pasta:,,,
1902.30.01,,,In combination with other food substances,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,01F,kg,Dried noodle cake with flavour sachet,,,
,09A,kg,Other,,,
,,,"Pasta, whether or not cooked or stuffed (with meat, etc.continued",,,
,,,Other pastacontinued,,,
1902.30.09,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,01G,kg,Dried noodle cake,,,
,09B,kg,Other,,,
1902.40.00,00E,kg,Couscous,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
19.03,,,,,,
1903.00.00,00J,kg,"Tapioca and substitutes therefor prepared from starch, in the form of",,,
,,,"flakes, grains, pearls, siftings or in similar forms",Free,Free,
19.04,,,Prepared foods obtained by the swelling or roasting of cereals or,,,
,,,"cereal products (for example, corn flakes); cereals (other than maize",,,
,,,(corn)) in grain form or in the form of flakes or other worked grains,,,
,,,"(except flour, groats and meal), pre-cooked or otherwise prepared,",,,
,,,not elsewhere specified or included:,,,
1904.1,,,Prepared foods obtained by the swelling or roasting of cereals or cereal,,,
,,,products:,,,
1904.10.01,00G,kg,Coated with chocolate or cocoa,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
1904.10.09,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
